,Counts
0,5771
1,5765
2,5744
3,5754
4,5768
5,5773
6,5757
7,5793
8,5782
9,5782
10,5761
11,5799
12,5800
13,5811
14,5827
15,5845
16,5820
17,5817
18,5825
19,5808
20,5783
21,5792
22,5757
23,5769
24,5768
25,5736
26,5753
27,5732
28,5757
29,5731
30,5743
31,5744
32,5740
33,5740
34,5764
35,5781
36,5799
37,5818
38,5831
39,5817
40,5791
41,5820
42,5825
43,5808
44,5778
45,5765
46,5754
47,5779
48,5783
49,5761
50,5752
51,5759
52,5760
53,5726
54,5765
55,5774
56,5781
57,5768
58,5799
59,5801
60,5828
61,5806
62,5818
63,5791
64,5799
65,5783
66,5796
67,5753
68,5769
69,5760
70,5770
71,5730
72,5724
73,5722
74,5735
75,5731
76,5744
77,5754
78,5771
79,5780
80,5760
81,5743
82,5770
83,5764
84,5764
85,5768
86,5749
87,5773
88,5769
89,5754
90,5760
91,5749
92,5744
93,5744
94,5718
95,5710
96,5748
97,5741
98,5780
99,5754
100,5788
101,5775
102,5775
103,5792
104,5797
105,5742
106,5802
107,5774
108,5788
109,5771
110,5804
111,5789
112,5792
113,5803
114,5787
115,5798
116,5788
117,5783
118,5766
119,5775
120,5753
121,5772
122,5771
123,5770
124,5716
125,5709
126,5688
127,5695
128,5655
129,5698
130,5734
131,5792
132,5763
133,5750
134,5714
135,5641
136,5627
137,5535
138,5449
139,5450
140,5422
141,5385
142,5401
143,5431
144,5486
145,5486
146,5442
147,5480
148,5478
149,5466
150,5492
151,5493
152,5511
153,5489
154,5482
155,5481
156,5474
157,5497
158,5489
159,5462
160,5503
161,5486
162,5472
163,5550
164,5530
165,5527
166,5517
167,5526
168,5530
