,Counts
0,6581
1,6626
2,6621
3,6600
4,6610
5,6610
6,6635
7,6599
8,6645
9,6634
10,6612
11,6601
12,6655
13,6602
14,6623
15,6617
16,6619
17,6597
18,6593
19,6581
20,6586
21,6551
22,6566
23,6584
24,6602
25,6623
26,6617
27,6565
28,6583
29,6580
30,6611
31,6597
32,6597
33,6634
34,6621
35,6605
36,6604
37,6548
38,6564
39,6596
40,6566
41,6549
42,6539
43,6526
44,6547
45,6556
46,6568
47,6576
48,6605
49,6626
50,6590
51,6612
52,6581
53,6609
54,6627
55,6666
56,6644
57,6615
58,6615
59,6622
60,6646
61,6627
62,6596
63,6621
64,6584
65,6600
66,6609
67,6620
68,6590
69,6601
70,6609
71,6602
72,6636
73,6609
74,6626
75,6627
76,6604
77,6603
78,6624
79,6605
80,6630
81,6658
82,6663
83,6661
84,6638
85,6639
86,6620
87,6610
88,6616
89,6641
90,6622
91,6623
92,6619
93,6635
94,6618
95,6620
96,6662
97,6615
98,6668
99,6606
100,6660
101,6642
102,6661
103,6643
104,6672
105,6689
106,6682
107,6682
108,6670
109,6677
110,6673
111,6655
112,6641
113,6639
114,6649
115,6626
116,6667
117,6627
118,6660
119,6639
120,6607
121,6660
122,6674
123,6658
124,6644
125,6676
126,6650
127,6672
128,6692
129,6653
130,6695
131,6677
132,6704
133,6699
134,6669
135,6674
136,6669
137,6661
138,6683
139,6675
140,6696
141,6690
142,6663
143,6681
144,6703
145,6686
146,6669
147,6685
148,6684
149,6700
150,6645
151,6637
152,6632
153,6685
154,6703
155,6695
156,6701
157,6659
158,6659
159,6671
160,6683
161,6665
162,6681
163,6679
164,6669
165,6660
166,6666
167,6696
168,6673
