,Counts
0,5869
1,5832
2,5855
3,5811
4,5865
5,5874
6,5900
7,5875
8,5876
9,5900
10,5918
11,5901
12,5919
13,5911
14,5945
15,5947
16,5938
17,5938
18,5908
19,5883
20,5900
21,5879
22,5895
23,5888
24,5888
25,5886
26,5856
27,5892
28,5889
29,5881
30,5874
31,5909
32,5912
33,5900
34,5918
35,5935
36,5945
37,5956
38,5933
39,5961
40,5936
41,5881
42,5881
43,5926
44,5904
45,5850
46,5863
47,5827
48,5843
49,5826
50,5829
51,5810
52,5868
53,5856
54,5886
55,5904
56,5900
57,5873
58,5906
59,5919
60,5882
61,5901
62,5927
63,5894
64,5927
65,5907
66,5863
67,5882
68,5850
69,5875
70,5882
71,5846
72,5841
73,5869
74,5873
75,5845
76,5843
77,5849
78,5879
79,5889
80,5926
81,5934
82,5956
83,5927
84,5947
85,5965
86,5960
87,5965
88,5943
89,5957
90,5929
91,5933
92,5942
93,5885
94,5799
95,5769
96,5778
97,5762
98,5774
99,5758
100,5729
101,5743
102,5786
103,5812
104,5832
105,5772
106,5785
107,5769
108,5757
109,5741
110,5745
111,5721
112,5738
113,5729
114,5711
115,5673
116,5657
117,5650
118,5652
119,5645
120,5668
121,5670
122,5681
123,5693
124,5696
125,5692
126,5730
127,5724
128,5722
129,5691
130,5677
131,5683
132,5680
133,5682
134,5700
135,5703
136,5681
137,5705
138,5656
139,5619
140,5665
141,5663
142,5696
143,5728
144,5702
145,5752
146,5755
147,5731
148,5729
149,5712
150,5725
151,5714
152,5736
153,5727
154,5727
155,5723
156,5748
157,5772
158,5755
159,5737
160,5695
161,5742
162,5752
163,5723
164,5740
165,5689
166,5734
167,5702
168,5712
