,Counts
0,6384
1,6373
2,6380
3,6406
4,6400
5,6373
6,6381
7,6409
8,6391
9,6414
10,6399
11,6395
12,6403
13,6401
14,6385
15,6418
16,6375
17,6386
18,6378
19,6362
20,6371
21,6411
22,6385
23,6421
24,6389
25,6396
26,6415
27,6422
28,6408
29,6396
30,6392
31,6428
32,6469
33,6443
34,6454
35,6473
36,6429
37,6413
38,6417
39,6422
40,6417
41,6426
42,6430
43,6448
44,6418
45,6409
46,6392
47,6394
48,6406
49,6408
50,6375
51,6403
52,6411
53,6414
54,6452
55,6417
56,6484
57,6492
58,6466
59,6449
60,6450
61,6438
62,6427
63,6427
64,6438
65,6431
66,6409
67,6419
68,6486
69,6441
70,6470
71,6448
72,6452
73,6464
74,6476
75,6455
76,6427
77,6436
78,6440
79,6440
80,6451
81,6462
82,6502
83,6490
84,6474
85,6478
86,6506
87,6486
88,6470
89,6484
90,6434
91,6435
92,6436
93,6439
94,6429
95,6470
96,6447
97,6452
98,6460
99,6507
100,6456
101,6462
102,6443
103,6498
104,6480
105,6497
106,6483
107,6493
108,6475
109,6498
110,6490
111,6494
112,6488
113,6463
114,6492
115,6488
116,6468
117,6486
118,6480
119,6473
120,6463
121,6471
122,6472
123,6476
124,6494
125,6521
126,6483
127,6507
128,6516
129,6511
130,6546
131,6521
132,6538
133,6535
134,6532
135,6527
136,6540
137,6495
138,6511
139,6492
140,6520
141,6496
142,6510
143,6496
144,6495
145,6460
146,6439
147,6488
148,6460
149,6473
150,6501
151,6509
152,6524
153,6544
154,6528
155,6539
156,6538
157,6557
158,6531
159,6554
160,6526
161,6501
162,6519
163,6495
164,6480
165,6454
166,6440
167,6439
168,6423
