,Counts
0,6122
1,6136
2,6139
3,6148
4,6147
5,6133
6,6151
7,6168
8,6182
9,6151
10,6177
11,6196
12,6191
13,6158
14,6162
15,6167
16,6200
17,6183
18,6200
19,6171
20,6194
21,6152
22,6165
23,6185
24,6125
25,6174
26,6182
27,6181
28,6193
29,6202
30,6183
31,6195
32,6190
33,6182
34,6188
35,6190
36,6204
37,6197
38,6172
39,6199
40,6178
41,6183
42,6172
43,6151
44,6166
45,6140
46,6113
47,6161
48,6125
49,6157
50,6150
51,6111
52,6149
53,6112
54,6147
55,6126
56,6112
57,6114
58,6147
59,6159
60,6186
61,6155
62,6162
63,6161
64,6142
65,6147
66,6150
67,6172
68,6160
69,6158
70,6131
71,6134
72,6137
73,6088
74,6138
75,6129
76,6118
77,6126
78,6135
79,6143
80,6168
81,6113
82,6137
83,6153
84,6153
85,6169
86,6179
87,6183
88,6158
89,6145
90,6130
91,6138
92,6184
93,6169
94,6130
95,6134
96,6166
97,6166
98,6135
99,6119
100,6132
101,6143
102,6108
103,6133
104,6141
105,6162
106,6223
107,6177
108,6189
109,6155
110,6200
111,6202
112,6170
113,6149
114,6162
115,6157
116,6164
117,6167
118,6164
119,6162
120,6168
121,6193
122,6102
123,6129
124,6130
125,6144
126,6097
127,6097
128,6083
129,6111
130,6088
131,6074
132,6057
133,6078
134,6044
135,6086
136,6105
137,6085
138,6130
139,6103
140,6164
141,6129
142,6134
143,6117
144,6094
145,6077
146,6073
147,6092
148,6094
149,6093
150,6104
151,6114
152,6097
153,6093
154,6105
155,6101
156,6075
157,6115
158,6084
159,6106
160,6074
161,6079
162,6103
163,6078
164,6075
165,6115
166,6124
167,6119
168,6110
