,Counts
0,5857
1,5879
2,5883
3,5872
4,5874
5,5903
6,5866
7,5917
8,5869
9,5901
10,5862
11,5900
12,5921
13,5894
14,5887
15,5877
16,5862
17,5857
18,5853
19,5861
20,5889
21,5883
22,5906
23,5911
24,5895
25,5900
26,5903
27,5900
28,5903
29,5888
30,5916
31,5896
32,5891
33,5919
34,5925
35,5923
36,5927
37,5942
38,5942
39,5934
40,5918
41,5941
42,5955
43,5949
44,5944
45,5929
46,5945
47,5913
48,5956
49,5967
50,5976
51,5941
52,5930
53,5944
54,5951
55,5966
56,5968
57,6013
58,6025
59,6001
60,5993
61,6005
62,5986
63,6002
64,6009
65,6004
66,5975
67,5970
68,5974
69,5983
70,5990
71,5975
72,5965
73,5974
74,5975
75,5976
76,5986
77,6017
78,5984
79,6019
80,6040
81,6010
82,6029
83,6042
84,6025
85,6028
86,6022
87,6023
88,6028
89,6035
90,6008
91,6019
92,5991
93,6003
94,6005
95,5975
96,5992
97,5977
98,5956
99,5962
100,5928
101,5974
102,5990
103,6058
104,6057
105,6052
106,6043
107,6064
108,6062
109,6060
110,6095
111,6076
112,6078
113,6050
114,6041
115,6067
116,6071
117,6041
118,6042
119,6020
120,6025
121,6001
122,6021
123,6006
124,6002
125,5990
126,6043
127,5998
128,6043
129,6007
130,6035
131,6029
132,6034
133,6058
134,6068
135,6052
136,6053
137,6036
138,6023
139,6032
140,6000
141,6025
142,6009
143,5964
144,5978
145,5969
146,5964
147,5948
148,5967
149,5996
150,5997
151,6028
152,6047
153,6019
154,6058
155,6015
156,6048
157,6042
158,6056
159,6048
160,6049
161,6055
162,6039
163,6015
164,6041
165,6024
166,5988
167,6020
168,6024
