,Counts
0,6218
1,6214
2,6210
3,6218
4,6240
5,6219
6,6242
7,6217
8,6234
9,6231
10,6187
11,6215
12,6256
13,6235
14,6220
15,6231
16,6220
17,6200
18,6199
19,6235
20,6222
21,6205
22,6203
23,6180
24,6215
25,6234
26,6197
27,6199
28,6199
29,6188
30,6220
31,6224
32,6268
33,6234
34,6260
35,6268
36,6257
37,6257
38,6220
39,6230
40,6242
41,6224
42,6253
43,6195
44,6211
45,6222
46,6192
47,6188
48,6183
49,6197
50,6235
51,6214
52,6203
53,6242
54,6194
55,6232
56,6221
57,6233
58,6234
59,6211
60,6228
61,6216
62,6236
63,6242
64,6237
65,6230
66,6202
67,6194
68,6214
69,6220
70,6209
71,6202
72,6220
73,6235
74,6250
75,6241
76,6260
77,6225
78,6255
79,6260
80,6271
81,6236
82,6262
83,6238
84,6281
85,6230
86,6226
87,6251
88,6200
89,6246
90,6243
91,6236
92,6254
93,6216
94,6191
95,6240
96,6223
97,6195
98,6226
99,6214
100,6212
101,6244
102,6237
103,6224
104,6241
105,6222
106,6195
107,6256
108,6250
109,6235
110,6217
111,6209
112,6201
113,6195
114,6194
115,6205
116,6214
117,6243
118,6220
119,6205
120,6217
121,6213
122,6197
123,6188
124,6222
125,6216
126,6198
127,6231
128,6217
129,6231
130,6233
131,6258
132,6226
133,6245
134,6215
135,6194
136,6202
137,6218
138,6213
139,6180
140,6239
141,6183
142,6225
143,6211
144,6196
145,6199
146,6194
147,6186
148,6226
149,6227
150,6237
151,6256
152,6228
153,6267
154,6253
155,6296
156,6276
157,6263
158,6249
159,6259
160,6287
161,6270
162,6257
163,6250
164,6250
165,6235
166,6276
167,6238
168,6281
