,Counts
0,5925
1,5953
2,5963
3,5949
4,5970
5,5942
6,5943
7,6027
8,6004
9,5977
10,5972
11,6001
12,5994
13,5972
14,6025
15,5954
16,5972
17,5951
18,5918
19,5931
20,5933
21,5960
22,5921
23,5880
24,5902
25,5892
26,5896
27,5920
28,5923
29,5936
30,5953
31,5939
32,5950
33,5972
34,6004
35,5979
36,5979
37,5995
38,5964
39,5979
40,5957
41,5949
42,5942
43,5960
44,5963
45,5936
46,5937
47,5973
48,5926
49,5926
50,5923
51,5905
52,5949
53,5938
54,5952
55,5939
56,5944
57,5915
58,5966
59,5992
60,5981
61,5988
62,6026
63,5984
64,6012
65,5987
66,5979
67,5977
68,5938
69,5950
70,5954
71,5987
72,5946
73,5967
74,5967
75,5967
76,5972
77,5938
78,5924
79,5954
80,5984
81,5967
82,5965
83,5945
84,5976
85,5976
86,6012
87,5996
88,5991
89,6006
90,5990
91,6010
92,5995
93,6023
94,6034
95,5993
96,6018
97,5993
98,5956
99,5976
100,5992
101,5940
102,5916
103,5968
104,5971
105,5976
106,5976
107,5967
108,5964
109,5988
110,5963
111,6001
112,5983
113,5963
114,5994
115,5993
116,5991
117,6011
118,5963
119,5953
120,5892
121,5882
122,5895
123,5983
124,5932
125,5915
126,5899
127,5913
128,5867
129,5915
130,5887
131,5903
132,5903
133,5907
134,5895
135,5858
136,5867
137,5886
138,5923
139,5855
140,5889
141,5892
142,5861
143,5924
144,5914
145,5909
146,5911
147,5936
148,5878
149,5873
150,5893
151,5902
152,5939
153,5948
154,5933
155,5937
156,5896
157,5929
158,5908
159,5911
160,5877
161,5879
162,5818
163,5823
164,5833
165,5808
166,5810
167,5794
168,5782
