,Counts
0,5644
1,5640
2,5619
3,5632
4,5622
5,5668
6,5650
7,5686
8,5706
9,5710
10,5688
11,5689
12,5695
13,5693
14,5741
15,5700
16,5741
17,5713
18,5704
19,5696
20,5717
21,5686
22,5731
23,5646
24,5659
25,5624
26,5667
27,5654
28,5653
29,5633
30,5678
31,5653
32,5662
33,5652
34,5647
35,5679
36,5667
37,5659
38,5656
39,5643
40,5649
41,5670
42,5633
43,5631
44,5635
45,5619
46,5666
47,5621
48,5624
49,5618
50,5617
51,5655
52,5641
53,5646
54,5643
55,5661
56,5647
57,5647
58,5638
59,5634
60,5664
61,5635
62,5646
63,5651
64,5663
65,5636
66,5681
67,5674
68,5612
69,5665
70,5645
71,5667
72,5639
73,5617
74,5642
75,5641
76,5642
77,5646
78,5654
79,5659
80,5663
81,5692
82,5707
83,5752
84,5727
85,5755
86,5738
87,5712
88,5734
89,5731
90,5718
91,5711
92,5681
93,5664
94,5676
95,5684
96,5701
97,5693
98,5643
99,5640
100,5603
101,5641
102,5628
103,5709
104,5667
105,5648
106,5669
107,5700
108,5753
109,5777
110,5797
111,5774
112,5700
113,5642
114,5645
115,5708
116,5614
117,5591
118,5575
119,5596
120,5590
121,5601
122,5601
123,5597
124,5637
125,5625
126,5625
127,5643
128,5680
129,5639
130,5640
131,5614
132,5636
133,5629
134,5673
135,5648
136,5660
137,5665
138,5655
139,5681
140,5683
141,5659
142,5675
143,5707
144,5644
145,5638
146,5659
147,5650
148,5654
149,5666
150,5635
151,5660
152,5692
153,5663
154,5687
155,5645
156,5662
157,5694
158,5658
159,5671
160,5665
161,5704
162,5630
163,5680
164,5646
165,5663
166,5662
167,5649
168,5663
