,Counts
0,5748
1,5741
2,5780
3,5754
4,5788
5,5775
6,5775
7,5792
8,5797
9,5742
10,5802
11,5774
12,5788
13,5771
14,5804
15,5789
16,5792
17,5803
18,5787
19,5798
20,5788
21,5783
22,5766
23,5775
24,5753
25,5772
26,5771
27,5770
28,5716
29,5709
30,5688
31,5695
32,5655
33,5698
34,5734
35,5792
36,5763
37,5750
38,5714
39,5641
40,5627
41,5535
42,5449
43,5450
44,5422
45,5385
46,5401
47,5431
48,5486
49,5486
50,5442
51,5480
52,5478
53,5466
54,5492
55,5493
56,5511
57,5489
58,5482
59,5481
60,5474
61,5497
62,5489
63,5462
64,5503
65,5486
66,5472
67,5550
68,5530
69,5527
70,5517
71,5526
72,5530
73,5518
74,5500
75,5504
76,5486
77,5525
78,5550
79,5535
80,5544
81,5555
82,5575
83,5544
84,5584
85,5535
86,5535
87,5504
88,5499
89,5498
90,5493
91,5515
92,5485
93,5441
94,5459
95,5464
96,5484
97,5482
98,5485
99,5543
100,5550
101,5556
102,5492
103,5548
104,5513
105,5542
106,5536
107,5531
108,5537
109,5556
110,5546
111,5549
112,5568
113,5543
114,5531
115,5525
116,5505
117,5531
118,5529
119,5529
120,5522
121,5522
122,5530
123,5556
124,5554
125,5559
126,5544
127,5566
128,5578
129,5567
130,5583
131,5574
132,5592
133,5579
134,5571
135,5528
136,5413
137,5375
138,5390
139,5348
140,5384
141,5358
142,5192
143,5102
144,5016
145,5010
146,5093
147,5059
148,5039
149,5018
150,5096
151,5100
152,5077
153,5083
154,5076
155,5083
156,5061
157,5086
158,5084
159,5089
160,5101
161,5117
162,5102
163,5108
164,5126
165,5159
166,5192
167,5202
168,5217
