,Counts
0,6709
1,6766
2,6750
3,6726
4,6705
5,6735
6,6777
7,6744
8,6753
9,6724
10,6737
11,6753
12,6756
13,6778
14,6738
15,6744
16,6745
17,6749
18,6739
19,6748
20,6735
21,6718
22,6730
23,6730
24,6700
25,6721
26,6691
27,6725
28,6733
29,6759
30,6755
31,6749
32,6780
33,6765
34,6755
35,6788
36,6784
37,6811
38,6769
39,6754
40,6721
41,6756
42,6798
43,6746
44,6747
45,6743
46,6719
47,6744
48,6725
49,6706
50,6771
51,6760
52,6764
53,6729
54,6751
55,6742
56,6794
57,6798
58,6762
59,6787
60,6738
61,6791
62,6749
63,6760
64,6728
65,6752
66,6724
67,6709
68,6697
69,6725
70,6728
71,6716
72,6763
73,6762
74,6784
75,6749
76,6761
77,6743
78,6767
79,6778
80,6781
81,6792
82,6780
83,6760
84,6763
85,6749
86,6730
87,6758
88,6751
89,6733
90,6740
91,6750
92,6743
93,6752
94,6750
95,6766
96,6753
97,6747
98,6809
99,6761
100,6770
101,6745
102,6790
103,6767
104,6795
105,6800
106,6785
107,6803
108,6754
109,6770
110,6742
111,6805
112,6746
113,6734
114,6764
115,6761
116,6733
117,6739
118,6752
119,6750
120,6778
121,6749
122,6773
123,6776
124,6745
125,6755
126,6770
127,6756
128,6760
129,6745
130,6755
131,6751
132,6723
133,6717
134,6722
135,6680
136,6672
137,6674
138,6673
139,6651
140,6689
141,6669
142,6660
143,6696
144,6652
145,6697
146,6656
147,6666
148,6704
149,6727
150,6710
151,6734
152,6747
153,6753
154,6763
155,6728
156,6744
157,6729
158,6758
159,6731
160,6719
161,6708
162,6738
163,6711
164,6719
165,6747
166,6741
167,6722
168,6716
