,Counts
0,5830
1,5809
2,5812
3,5818
4,5791
5,5784
6,5802
7,5815
8,5851
9,5869
10,5840
11,5836
12,5846
13,5903
14,5915
15,5872
16,5894
17,5832
18,5848
19,5840
20,5845
21,5834
22,5818
23,5836
24,5822
25,5852
26,5838
27,5848
28,5862
29,5902
30,5907
31,5885
32,5875
33,5883
34,5904
35,5869
36,5866
37,5898
38,5912
39,5879
40,5868
41,5920
42,5888
43,5821
44,5811
45,5780
46,5785
47,5818
48,5815
49,5815
50,5831
51,5864
52,5877
53,5908
54,5885
55,5920
56,5940
57,5939
58,5929
59,5973
60,5945
61,5960
62,5940
63,5940
64,5985
65,5952
66,5926
67,5941
68,5922
69,5910
70,5888
71,5906
72,5895
73,5942
74,5910
75,5926
76,5922
77,5936
78,5912
79,5965
80,5933
81,5940
82,5937
83,5969
84,5961
85,5966
86,5999
87,5965
88,5934
89,5951
90,5969
91,5969
92,5919
93,5918
94,5876
95,5865
96,5886
97,5840
98,5839
99,5881
100,5852
101,5893
102,5912
103,5921
104,5948
105,5944
106,5948
107,5968
108,5950
109,5933
110,5939
111,5946
112,5906
113,5913
114,5897
115,5900
116,5877
117,5927
118,5933
119,5916
120,5901
121,5937
122,5947
123,5921
124,5939
125,5947
126,5943
127,5911
128,5952
129,5957
130,5948
131,5923
132,5919
133,5958
134,5926
135,5978
136,5948
137,5903
138,5869
139,5850
140,5833
141,5824
142,5810
143,5787
144,5768
145,5790
146,5789
147,5781
148,5754
149,5751
150,5799
151,5781
152,5789
153,5776
154,5805
155,5848
156,5809
157,5839
158,5805
159,5839
160,5826
161,5748
162,5742
163,5743
164,5698
165,5733
166,5726
167,5733
168,5688
