,Counts
0,5959
1,5945
2,5937
3,5950
4,5960
5,5945
6,5951
7,5944
8,5964
9,5983
10,5983
11,6004
12,5953
13,5980
14,5972
15,5957
16,5976
17,5954
18,5952
19,5946
20,6010
21,5991
22,5939
23,5952
24,5961
25,5975
26,5957
27,5972
28,5967
29,5981
30,5926
31,6005
32,5989
33,6020
34,6014
35,6011
36,6028
37,6002
38,6031
39,5995
40,6004
41,5976
42,5937
43,5999
44,5977
45,5940
46,5991
47,6006
48,5964
49,5949
50,6001
51,6003
52,6006
53,5999
54,5998
55,5993
56,6021
57,5981
58,5992
59,6005
60,6018
61,6018
62,6035
63,6013
64,6027
65,5968
66,6005
67,6022
68,5979
69,6016
70,5981
71,5984
72,5987
73,6022
74,5985
75,5984
76,5968
77,5998
78,5976
79,5971
80,5980
81,5988
82,5979
83,5990
84,5986
85,5984
86,6002
87,5963
88,5984
89,5977
90,6004
91,5970
92,5959
93,5965
94,5969
95,5976
96,5975
97,5978
98,5964
99,5970
100,5948
101,5950
102,5936
103,5947
104,5980
105,5980
106,6005
107,5954
108,5987
109,5963
110,5996
111,5971
112,5981
113,5991
114,6023
115,5973
116,5998
117,5996
118,5971
119,5987
120,5983
121,5938
122,5931
123,5961
124,5929
125,5944
126,5941
127,5986
128,5980
129,5975
130,5974
131,6036
132,6024
133,6054
134,6007
135,6018
136,5992
137,6019
138,6009
139,6008
140,6011
141,6009
142,5982
143,5994
144,5995
145,5972
146,5936
147,5943
148,5970
149,5990
150,6006
151,5970
152,5998
153,5999
154,5998
155,6014
156,6008
157,6004
158,6014
159,5992
160,6020
161,5998
162,5997
163,5968
164,6009
165,5993
166,6000
167,6015
168,5988
