,Counts
0,5914
1,5925
2,5898
3,5924
4,5925
5,5929
6,5956
7,5923
8,5955
9,5964
10,5975
11,5944
12,5930
13,5963
14,5965
15,5960
16,5951
17,5939
18,5954
19,5935
20,5944
21,5945
22,5937
23,5943
24,5926
25,5938
26,5958
27,5914
28,5931
29,5951
30,5925
31,5969
32,5977
33,5923
34,5964
35,5953
36,5979
37,5941
38,5955
39,5979
40,5927
41,5981
42,5953
43,5975
44,5956
45,5963
46,5961
47,5940
48,5960
49,5933
50,5979
51,5974
52,5984
53,5977
54,5949
55,5984
56,5975
57,6003
58,6028
59,5980
60,5982
61,6003
62,5996
63,6029
64,5991
65,5971
66,5971
67,5960
68,5958
69,5955
70,5955
71,5939
72,5936
73,5941
74,5951
75,5976
76,5949
77,5952
78,5971
79,5923
80,5973
81,5973
82,5939
83,5965
84,5991
85,5966
86,5974
87,5982
88,5971
89,5959
90,5952
91,5967
92,5953
93,5947
94,5945
95,5944
96,5927
97,5969
98,5975
99,5955
100,5938
101,5946
102,5927
103,5953
104,5921
105,5846
106,5822
107,5878
108,5873
109,5923
110,5921
111,5880
112,5845
113,5822
114,5873
115,5852
116,5837
117,5831
118,5831
119,5814
120,5835
121,5794
122,5813
123,5838
124,5830
125,5859
126,5858
127,5874
128,5885
129,5895
130,5928
131,5887
132,5908
133,5842
134,5903
135,5881
136,5841
137,5818
138,5764
139,5772
140,5776
141,5788
142,5779
143,5748
144,5728
145,5757
146,5728
147,5772
148,5742
149,5758
150,5795
151,5801
152,5770
153,5830
154,5786
155,5782
156,5793
157,5832
158,5794
159,5811
160,5865
161,5869
162,5875
163,5829
164,5845
165,5859
166,5828
167,5805
168,5829
