,Counts
0,6062
1,6061
2,6053
3,6029
4,6034
5,6086
6,6107
7,6086
8,6136
9,6099
10,6129
11,6078
12,6115
13,6068
14,6084
15,6078
16,6055
17,6080
18,6075
19,6056
20,6067
21,6020
22,6038
23,6030
24,6033
25,6040
26,6056
27,6045
28,6046
29,6105
30,6083
31,6098
32,6115
33,6102
34,6078
35,6074
36,6102
37,6148
38,6136
39,6176
40,6161
41,6147
42,6156
43,6154
44,6128
45,6126
46,6142
47,6122
48,6143
49,6143
50,6142
51,6119
52,6137
53,6141
54,6138
55,6186
56,6200
57,6214
58,6246
59,6236
60,6246
61,6249
62,6249
63,6218
64,6196
65,6201
66,6213
67,6193
68,6207
69,6210
70,6215
71,6188
72,6216
73,6232
74,6188
75,6187
76,6211
77,6209
78,6238
79,6174
80,6158
81,6201
82,6190
83,6247
84,6176
85,6160
86,6173
87,6166
88,6186
89,6167
90,6173
91,6212
92,6197
93,6215
94,6208
95,6214
96,6218
97,6203
98,6185
99,6209
100,6207
101,6200
102,6201
103,6176
104,6180
105,6184
106,6198
107,6189
108,6194
109,6179
110,6182
111,6177
112,6193
113,6185
114,6218
115,6191
116,6222
117,6211
118,6239
119,6224
120,6213
121,6216
122,6219
123,6222
124,6218
125,6219
126,6246
127,6219
128,6211
129,6234
130,6210
131,6238
132,6249
133,6243
134,6235
135,6205
136,6220
137,6204
138,6209
139,6201
140,6218
141,6228
142,6205
143,6181
144,6216
145,6180
146,6184
147,6166
148,6220
149,6214
150,6220
151,6218
152,6196
153,6216
154,6197
155,6251
156,6256
157,6239
158,6273
159,6224
160,6183
161,6181
162,6226
163,6211
164,6205
165,6236
166,6213
167,6247
168,6227
