,Counts
0,6227
1,6219
2,6143
3,6189
4,6192
5,6185
6,6176
7,6188
8,6153
9,6189
10,6208
11,6198
12,6140
13,6219
14,6213
15,6221
16,6219
17,6229
18,6241
19,6187
20,6153
21,6109
22,6144
23,6142
24,6148
25,6178
26,6154
27,6116
28,6167
29,6166
30,6136
31,6117
32,6132
33,6147
34,6133
35,6154
36,6119
37,6123
38,6124
39,6144
40,6132
41,6148
42,6122
43,6120
44,6142
45,6144
46,6125
47,6126
48,6120
49,6123
50,6136
51,6157
52,6149
53,6128
54,6172
55,6150
56,6170
57,6167
58,6125
59,6142
60,6132
61,6174
62,6142
63,6152
64,6154
65,6123
66,6125
67,6102
68,6119
69,6088
70,6073
71,6088
72,6066
73,6067
74,6037
75,6023
76,6015
77,6017
78,6024
79,6041
80,6049
81,6065
82,6050
83,6088
84,6080
85,6049
86,6076
87,6036
88,6073
89,6064
90,6062
91,6045
92,6010
93,6022
94,6001
95,5973
96,6025
97,5995
98,5968
99,5953
100,5977
101,5976
102,5973
103,5989
104,5976
105,5969
106,5978
107,5993
108,6010
109,6046
110,6021
111,6025
112,6031
113,5992
114,5962
115,5960
116,5983
117,6006
118,5951
119,5955
120,5945
121,5963
122,5937
123,5966
124,5956
125,5966
126,5981
127,5994
128,5984
129,5976
130,5999
131,5987
132,5983
133,5988
134,5969
135,5983
136,5949
137,5983
138,5949
139,5948
140,5986
141,5984
142,5960
143,5973
144,5992
145,5966
146,5989
147,5990
148,6000
149,6008
150,6012
151,6017
152,6018
153,6022
154,6020
155,6001
156,6008
157,5998
158,5995
159,6006
160,6011
161,5989
162,5995
163,6002
164,6011
165,6031
166,6063
167,6025
168,6022
