,Counts
0,5936
1,5941
2,5951
3,5976
4,5949
5,5952
6,5971
7,5923
8,5973
9,5973
10,5939
11,5965
12,5991
13,5966
14,5974
15,5982
16,5971
17,5959
18,5952
19,5967
20,5953
21,5947
22,5945
23,5944
24,5927
25,5969
26,5975
27,5955
28,5938
29,5946
30,5927
31,5953
32,5921
33,5846
34,5822
35,5878
36,5873
37,5923
38,5921
39,5880
40,5845
41,5822
42,5873
43,5852
44,5837
45,5831
46,5831
47,5814
48,5835
49,5794
50,5813
51,5838
52,5830
53,5859
54,5858
55,5874
56,5885
57,5895
58,5928
59,5887
60,5908
61,5842
62,5903
63,5881
64,5841
65,5818
66,5764
67,5772
68,5776
69,5788
70,5779
71,5748
72,5728
73,5757
74,5728
75,5772
76,5742
77,5758
78,5795
79,5801
80,5770
81,5830
82,5786
83,5782
84,5793
85,5832
86,5794
87,5811
88,5865
89,5869
90,5875
91,5829
92,5845
93,5859
94,5828
95,5805
96,5829
97,5821
98,5767
99,5782
100,5778
101,5781
102,5778
103,5751
104,5791
105,5805
106,5805
107,5788
108,5740
109,5779
110,5759
111,5757
112,5790
113,5768
114,5817
115,5803
116,5789
117,5760
118,5730
119,5742
120,5754
121,5707
122,5725
123,5729
124,5783
125,5752
126,5803
127,5776
128,5789
129,5823
130,5837
131,5854
132,5833
133,5816
134,5830
135,5824
136,5816
137,5847
138,5834
139,5856
140,5843
141,5801
142,5805
143,5788
144,5803
145,5755
146,5779
147,5766
148,5786
149,5791
150,5772
151,5808
152,5823
153,5794
154,5817
155,5816
156,5833
157,5790
158,5840
159,5791
160,5765
161,5780
162,5729
163,5705
164,5706
165,5735
166,5736
167,5705
168,5721
