,Counts
0,5966
1,5970
2,5954
3,5951
4,5954
5,5979
6,5965
7,5962
8,5999
9,5993
10,6014
11,6024
12,6051
13,6024
14,6020
15,6003
16,6017
17,6007
18,6012
19,5999
20,5980
21,5942
22,5953
23,5911
24,5943
25,5950
26,5949
27,5927
28,5935
29,5947
30,5904
31,5951
32,5938
33,5956
34,5938
35,5950
36,5969
37,5976
38,5957
39,5941
40,5959
41,5940
42,5940
43,5939
44,5940
45,5963
46,5937
47,5938
48,5914
49,5925
50,5898
51,5924
52,5925
53,5929
54,5956
55,5923
56,5955
57,5964
58,5975
59,5944
60,5930
61,5963
62,5965
63,5960
64,5951
65,5939
66,5954
67,5935
68,5944
69,5945
70,5937
71,5943
72,5926
73,5938
74,5958
75,5914
76,5931
77,5951
78,5925
79,5969
80,5977
81,5923
82,5964
83,5953
84,5979
85,5941
86,5955
87,5979
88,5927
89,5981
90,5953
91,5975
92,5956
93,5963
94,5961
95,5940
96,5960
97,5933
98,5979
99,5974
100,5984
101,5977
102,5949
103,5984
104,5975
105,6003
106,6028
107,5980
108,5982
109,6003
110,5996
111,6029
112,5991
113,5971
114,5971
115,5960
116,5958
117,5955
118,5955
119,5939
120,5936
121,5941
122,5951
123,5976
124,5949
125,5952
126,5971
127,5923
128,5973
129,5973
130,5939
131,5965
132,5991
133,5966
134,5974
135,5982
136,5971
137,5959
138,5952
139,5967
140,5953
141,5947
142,5945
143,5944
144,5927
145,5969
146,5975
147,5955
148,5938
149,5946
150,5927
151,5953
152,5921
153,5846
154,5822
155,5878
156,5873
157,5923
158,5921
159,5880
160,5845
161,5822
162,5873
163,5852
164,5837
165,5831
166,5831
167,5814
168,5835
