,Counts
0,6255
1,6233
2,6207
3,6236
4,6224
5,6210
6,6225
7,6223
8,6234
9,6236
10,6247
11,6279
12,6263
13,6275
14,6220
15,6252
16,6229
17,6228
18,6232
19,6230
20,6263
21,6264
22,6214
23,6253
24,6240
25,6247
26,6249
27,6193
28,6197
29,6197
30,6208
31,6208
32,6195
33,6239
34,6245
35,6266
36,6273
37,6262
38,6264
39,6244
40,6271
41,6246
42,6225
43,6234
44,6219
45,6192
46,6199
47,6173
48,6175
49,6208
50,6209
51,6186
52,6155
53,6135
54,6173
55,6185
56,6165
57,6195
58,6247
59,6226
60,6225
61,6190
62,6196
63,6198
64,6119
65,6091
66,6069
67,6031
68,6035
69,6038
70,5992
71,6010
72,6013
73,6026
74,6016
75,6009
76,6021
77,6039
78,6029
79,6045
80,6027
81,6089
82,6050
83,6056
84,6046
85,6050
86,6038
87,5995
88,6013
89,5993
90,6015
91,6044
92,6040
93,6039
94,6054
95,5999
96,6043
97,6070
98,6088
99,6075
100,6118
101,6093
102,6102
103,6115
104,6103
105,6091
106,6127
107,6104
108,6088
109,6072
110,6066
111,6042
112,6060
113,6007
114,5957
115,5985
116,5934
117,5953
118,5963
119,5957
120,5980
121,6044
122,6040
123,6028
124,6081
125,6047
126,6091
127,6073
128,6076
129,6080
130,6044
131,6044
132,6038
133,6050
134,6062
135,6049
136,6046
137,6024
138,6051
139,6038
140,6058
141,6078
142,6043
143,6118
144,6074
145,6077
146,6053
147,6101
148,6085
149,6099
150,6109
151,6130
152,6125
153,6086
154,6107
155,6124
156,6088
157,6100
158,6097
159,6078
160,6094
161,6006
162,6050
163,6064
164,6098
165,6108
166,6128
167,6116
168,6146
