,Counts
0,5743
1,5735
2,5697
3,5730
4,5703
5,5732
6,5722
7,5714
8,5734
9,5719
10,5742
11,5745
12,5700
13,5695
14,5701
15,5708
16,5707
17,5740
18,5727
19,5718
20,5731
21,5703
22,5742
23,5710
24,5723
25,5717
26,5728
27,5739
28,5755
29,5731
30,5740
31,5744
32,5756
33,5739
34,5724
35,5733
36,5757
37,5754
38,5746
39,5746
40,5761
41,5744
42,5753
43,5736
44,5739
45,5736
46,5735
47,5759
48,5703
49,5749
50,5738
51,5743
52,5730
53,5740
54,5741
55,5735
56,5740
57,5746
58,5753
59,5754
60,5763
61,5790
62,5811
63,5814
64,5753
65,5773
66,5764
67,5736
68,5758
69,5733
70,5759
71,5754
72,5726
73,5734
74,5720
75,5710
76,5719
77,5721
78,5720
79,5732
80,5721
81,5718
82,5731
83,5777
84,5722
85,5750
86,5744
87,5742
88,5761
89,5728
90,5743
91,5723
92,5746
93,5725
94,5742
95,5724
96,5777
97,5755
98,5775
99,5760
100,5785
101,5793
102,5782
103,5784
104,5744
105,5699
106,5660
107,5669
108,5671
109,5624
110,5649
111,5610
112,5635
113,5619
114,5620
115,5633
116,5603
117,5639
118,5654
119,5618
120,5664
121,5686
122,5692
123,5714
124,5707
125,5682
126,5691
127,5709
128,5738
129,5732
130,5718
131,5717
132,5700
133,5711
134,5723
135,5708
136,5713
137,5723
138,5710
139,5696
140,5703
141,5705
142,5687
143,5690
144,5688
145,5707
146,5713
147,5715
148,5685
149,5676
150,5701
151,5682
152,5716
153,5699
154,5729
155,5716
156,5684
157,5723
158,5706
159,5703
160,5699
161,5729
162,5706
163,5713
164,5711
165,5703
166,5681
167,5718
168,5730
