,Counts
0,5926
1,5938
2,5958
3,5914
4,5931
5,5951
6,5925
7,5969
8,5977
9,5923
10,5964
11,5953
12,5979
13,5941
14,5955
15,5979
16,5927
17,5981
18,5953
19,5975
20,5956
21,5963
22,5961
23,5940
24,5960
25,5933
26,5979
27,5974
28,5984
29,5977
30,5949
31,5984
32,5975
33,6003
34,6028
35,5980
36,5982
37,6003
38,5996
39,6029
40,5991
41,5971
42,5971
43,5960
44,5958
45,5955
46,5955
47,5939
48,5936
49,5941
50,5951
51,5976
52,5949
53,5952
54,5971
55,5923
56,5973
57,5973
58,5939
59,5965
60,5991
61,5966
62,5974
63,5982
64,5971
65,5959
66,5952
67,5967
68,5953
69,5947
70,5945
71,5944
72,5927
73,5969
74,5975
75,5955
76,5938
77,5946
78,5927
79,5953
80,5921
81,5846
82,5822
83,5878
84,5873
85,5923
86,5921
87,5880
88,5845
89,5822
90,5873
91,5852
92,5837
93,5831
94,5831
95,5814
96,5835
97,5794
98,5813
99,5838
100,5830
101,5859
102,5858
103,5874
104,5885
105,5895
106,5928
107,5887
108,5908
109,5842
110,5903
111,5881
112,5841
113,5818
114,5764
115,5772
116,5776
117,5788
118,5779
119,5748
120,5728
121,5757
122,5728
123,5772
124,5742
125,5758
126,5795
127,5801
128,5770
129,5830
130,5786
131,5782
132,5793
133,5832
134,5794
135,5811
136,5865
137,5869
138,5875
139,5829
140,5845
141,5859
142,5828
143,5805
144,5829
145,5821
146,5767
147,5782
148,5778
149,5781
150,5778
151,5751
152,5791
153,5805
154,5805
155,5788
156,5740
157,5779
158,5759
159,5757
160,5790
161,5768
162,5817
163,5803
164,5789
165,5760
166,5730
167,5742
168,5754
