,Counts
0,5959
1,5970
2,5939
3,5976
4,5926
5,5915
6,5952
7,5983
8,5945
9,5964
10,6007
11,6001
12,5984
13,5972
14,5964
15,5985
16,5974
17,5936
18,5944
19,5887
20,5903
21,5896
22,5904
23,5904
24,5882
25,5903
26,5908
27,5925
28,5921
29,5913
30,5961
31,5921
32,5929
33,5930
34,5961
35,5987
36,5984
37,6020
38,6031
39,5970
40,5963
41,5956
42,5906
43,5806
44,5776
45,5626
46,5425
47,5305
48,5306
49,5335
50,5477
51,5552
52,5521
53,5533
54,5493
55,5483
56,5459
57,5433
58,5440
59,5425
60,5378
61,5352
62,5368
63,5369
64,5397
65,5408
66,5382
67,5347
68,5383
69,5401
70,5390
71,5362
72,5397
73,5397
74,5429
75,5469
76,5497
77,5440
78,5470
79,5518
80,5521
81,5535
82,5538
83,5505
84,5479
85,5495
86,5484
87,5496
88,5501
89,5468
90,5436
91,5452
92,5464
93,5478
94,5506
95,5512
96,5543
97,5575
98,5584
99,5614
100,5641
101,5671
102,5719
103,5682
104,5701
105,5683
106,5692
107,5675
108,5641
109,5608
110,5571
111,5627
112,5650
113,5621
114,5614
115,5599
116,5572
117,5603
118,5672
119,5620
120,5629
121,5605
122,5629
123,5645
124,5645
125,5696
126,5734
127,5720
128,5734
129,5717
130,5727
131,5720
132,5711
133,5732
134,5735
135,5755
136,5747
137,5780
138,5763
139,5748
140,5730
141,5793
142,5754
143,5727
144,5733
145,5741
146,5687
147,5657
148,5652
149,5674
150,5693
151,5680
152,5704
153,5680
154,5689
155,5696
156,5736
157,5726
158,5722
159,5778
160,5786
161,5768
162,5784
163,5753
164,5739
165,5751
166,5760
167,5703
168,5732
