,Counts
0,5876
1,5886
2,5868
3,5913
4,5902
5,5897
6,5911
7,5892
8,5904
9,5943
10,5948
11,5922
12,5927
13,5944
14,5919
15,5951
16,5925
17,5952
18,5946
19,5951
20,5935
21,5934
22,5911
23,5876
24,5929
25,5910
26,5889
27,5912
28,5881
29,5902
30,5902
31,5900
32,5921
33,5944
34,5951
35,5990
36,5969
37,5981
38,5977
39,6008
40,5947
41,5932
42,5949
43,5952
44,5984
45,5939
46,5923
47,5929
48,5915
49,5887
50,5904
51,5929
52,5971
53,5960
54,5988
55,5967
56,5962
57,5951
58,5956
59,5960
60,5990
61,5960
62,5974
63,5988
64,5989
65,5968
66,5935
67,5983
68,5974
69,6004
70,5975
71,5916
72,5934
73,5939
74,5939
75,5923
76,5935
77,5961
78,5954
79,5930
80,5933
81,5954
82,5965
83,5990
84,5948
85,5968
86,5954
87,5990
88,5995
89,5976
90,5971
91,5957
92,5980
93,5977
94,5959
95,5934
96,5917
97,5917
98,5913
99,5899
100,5954
101,5923
102,5930
103,5927
104,5965
105,5936
106,5991
107,5980
108,5973
109,5963
110,5989
111,5987
112,5966
113,5975
114,5956
115,5977
116,5969
117,5958
118,5930
119,5931
120,5931
121,5919
122,5941
123,5945
124,5922
125,5953
126,5940
127,5924
128,5908
129,5915
130,5904
131,5914
132,5917
133,5954
134,5936
135,5924
136,5915
137,5906
138,5919
139,5898
140,5906
141,5927
142,5924
143,5892
144,5911
145,5918
146,5960
147,5902
148,5867
149,5853
150,5859
151,5882
152,5876
153,5873
154,5894
155,5923
156,5920
157,5933
158,5924
159,5950
160,5923
161,5912
162,5920
163,5891
164,5901
165,5893
166,5882
167,5906
168,5871
