,Counts
0,5728
1,5757
2,5728
3,5772
4,5742
5,5758
6,5795
7,5801
8,5770
9,5830
10,5786
11,5782
12,5793
13,5832
14,5794
15,5811
16,5865
17,5869
18,5875
19,5829
20,5845
21,5859
22,5828
23,5805
24,5829
25,5821
26,5767
27,5782
28,5778
29,5781
30,5778
31,5751
32,5791
33,5805
34,5805
35,5788
36,5740
37,5779
38,5759
39,5757
40,5790
41,5768
42,5817
43,5803
44,5789
45,5760
46,5730
47,5742
48,5754
49,5707
50,5725
51,5729
52,5783
53,5752
54,5803
55,5776
56,5789
57,5823
58,5837
59,5854
60,5833
61,5816
62,5830
63,5824
64,5816
65,5847
66,5834
67,5856
68,5843
69,5801
70,5805
71,5788
72,5803
73,5755
74,5779
75,5766
76,5786
77,5791
78,5772
79,5808
80,5823
81,5794
82,5817
83,5816
84,5833
85,5790
86,5840
87,5791
88,5765
89,5780
90,5729
91,5705
92,5706
93,5735
94,5736
95,5705
96,5721
97,5760
98,5725
99,5727
100,5729
101,5750
102,5721
103,5769
104,5726
105,5729
106,5744
107,5769
108,5766
109,5764
110,5768
111,5788
112,5755
113,5775
114,5762
115,5749
116,5753
117,5782
118,5764
119,5800
120,5767
121,5763
122,5757
123,5789
124,5778
125,5802
126,5767
127,5770
128,5805
129,5802
130,5802
131,5792
132,5815
133,5831
134,5842
135,5796
136,5837
137,5835
138,5805
139,5798
140,5793
141,5807
142,5786
143,5797
144,5825
145,5832
146,5835
147,5824
148,5838
149,5824
150,5827
151,5873
152,5859
153,5847
154,5854
155,5806
156,5848
157,5868
158,5858
159,5833
160,5858
161,5859
162,5831
163,5823
164,5870
165,5848
166,5847
167,5850
168,5860
