,Counts
0,6613
1,6625
2,6577
3,6640
4,6623
5,6646
6,6662
7,6652
8,6661
9,6658
10,6668
11,6664
12,6671
13,6635
14,6625
15,6656
16,6670
17,6629
18,6586
19,6657
20,6653
21,6636
22,6620
23,6665
24,6635
25,6665
26,6624
27,6642
28,6660
29,6637
30,6642
31,6673
32,6644
33,6684
34,6684
35,6713
36,6684
37,6669
38,6704
39,6664
40,6673
41,6670
42,6666
43,6677
44,6669
45,6694
46,6665
47,6683
48,6657
49,6624
50,6658
51,6651
52,6681
53,6678
54,6695
55,6715
56,6731
57,6720
58,6685
59,6708
60,6697
61,6662
62,6693
63,6679
64,6680
65,6684
66,6651
67,6685
68,6661
69,6648
70,6702
71,6691
72,6691
73,6681
74,6670
75,6713
76,6704
77,6702
78,6687
79,6707
80,6711
81,6695
82,6716
83,6695
84,6696
85,6685
86,6700
87,6715
88,6664
89,6690
90,6697
91,6658
92,6660
93,6669
94,6639
95,6656
96,6685
97,6646
98,6682
99,6691
100,6687
101,6662
102,6666
103,6674
104,6695
105,6686
106,6701
107,6717
108,6698
109,6697
110,6709
111,6723
112,6684
113,6687
114,6713
115,6698
116,6672
117,6686
118,6689
119,6713
120,6670
121,6706
122,6654
123,6710
124,6686
125,6684
126,6714
127,6722
128,6735
129,6734
130,6699
131,6764
132,6761
133,6749
134,6723
135,6737
136,6724
137,6701
138,6706
139,6711
140,6694
141,6720
142,6765
143,6726
144,6695
145,6757
146,6702
147,6746
148,6761
149,6740
150,6755
151,6762
152,6759
153,6739
154,6807
155,6767
156,6749
157,6757
158,6743
159,6705
160,6684
161,6690
162,6683
163,6673
164,6593
165,6612
166,6601
167,6577
168,6616
