,Counts
0,5815
1,5815
2,5831
3,5864
4,5877
5,5908
6,5885
7,5920
8,5940
9,5939
10,5929
11,5973
12,5945
13,5960
14,5940
15,5940
16,5985
17,5952
18,5926
19,5941
20,5922
21,5910
22,5888
23,5906
24,5895
25,5942
26,5910
27,5926
28,5922
29,5936
30,5912
31,5965
32,5933
33,5940
34,5937
35,5969
36,5961
37,5966
38,5999
39,5965
40,5934
41,5951
42,5969
43,5969
44,5919
45,5918
46,5876
47,5865
48,5886
49,5840
50,5839
51,5881
52,5852
53,5893
54,5912
55,5921
56,5948
57,5944
58,5948
59,5968
60,5950
61,5933
62,5939
63,5946
64,5906
65,5913
66,5897
67,5900
68,5877
69,5927
70,5933
71,5916
72,5901
73,5937
74,5947
75,5921
76,5939
77,5947
78,5943
79,5911
80,5952
81,5957
82,5948
83,5923
84,5919
85,5958
86,5926
87,5978
88,5948
89,5903
90,5869
91,5850
92,5833
93,5824
94,5810
95,5787
96,5768
97,5790
98,5789
99,5781
100,5754
101,5751
102,5799
103,5781
104,5789
105,5776
106,5805
107,5848
108,5809
109,5839
110,5805
111,5839
112,5826
113,5748
114,5742
115,5743
116,5698
117,5733
118,5726
119,5733
120,5688
121,5698
122,5716
123,5715
124,5721
125,5725
126,5729
127,5709
128,5723
129,5715
130,5750
131,5729
132,5743
133,5719
134,5711
135,5707
136,5735
137,5740
138,5709
139,5700
140,5691
141,5677
142,5651
143,5633
144,5643
145,5683
146,5649
147,5667
148,5659
149,5664
150,5676
151,5666
152,5672
153,5666
154,5681
155,5683
156,5663
157,5716
158,5650
159,5684
160,5681
161,5689
162,5676
163,5638
164,5661
165,5647
166,5643
167,5630
168,5644
