,Counts
0,5638
1,5652
2,5664
3,5663
4,5639
5,5589
6,5632
7,5621
8,5611
9,5644
10,5674
11,5689
12,5665
13,5655
14,5664
15,5652
16,5612
17,5629
18,5609
19,5650
20,5597
21,5626
22,5626
23,5637
24,5614
25,5616
26,5577
27,5610
28,5619
29,5612
30,5622
31,5613
32,5613
33,5641
34,5656
35,5651
36,5666
37,5677
38,5673
39,5643
40,5641
41,5640
42,5637
43,5654
44,5655
45,5621
46,5623
47,5609
48,5629
49,5614
50,5664
51,5667
52,5643
53,5633
54,5682
55,5670
56,5707
57,5701
58,5682
59,5682
60,5693
61,5721
62,5699
63,5721
64,5713
65,5714
66,5678
67,5686
68,5678
69,5653
70,5711
71,5680
72,5677
73,5694
74,5702
75,5713
76,5704
77,5672
78,5720
79,5728
80,5727
81,5735
82,5745
83,5771
84,5740
85,5724
86,5746
87,5749
88,5746
89,5758
90,5730
91,5735
92,5731
93,5725
94,5709
95,5741
96,5743
97,5735
98,5697
99,5730
100,5703
101,5732
102,5722
103,5714
104,5734
105,5719
106,5742
107,5745
108,5700
109,5695
110,5701
111,5708
112,5707
113,5740
114,5727
115,5718
116,5731
117,5703
118,5742
119,5710
120,5723
121,5717
122,5728
123,5739
124,5755
125,5731
126,5740
127,5744
128,5756
129,5739
130,5724
131,5733
132,5757
133,5754
134,5746
135,5746
136,5761
137,5744
138,5753
139,5736
140,5739
141,5736
142,5735
143,5759
144,5703
145,5749
146,5738
147,5743
148,5730
149,5740
150,5741
151,5735
152,5740
153,5746
154,5753
155,5754
156,5763
157,5790
158,5811
159,5814
160,5753
161,5773
162,5764
163,5736
164,5758
165,5733
166,5759
167,5754
168,5726
