,Counts
0,5961
1,5943
2,5950
3,5957
4,5944
5,5943
6,5932
7,5976
8,5952
9,5950
10,5948
11,5933
12,5961
13,5987
14,5983
15,5983
16,5979
17,5975
18,5947
19,5994
20,5965
21,5966
22,5953
23,5935
24,5934
25,5942
26,5915
27,5964
28,5954
29,5954
30,5964
31,5999
32,5938
33,6004
34,5984
35,6003
36,6012
37,6018
38,5989
39,5997
40,6001
41,6019
42,5978
43,5988
44,5970
45,5964
46,5942
47,5955
48,5959
49,5970
50,5939
51,5976
52,5926
53,5915
54,5952
55,5983
56,5945
57,5964
58,6007
59,6001
60,5984
61,5972
62,5964
63,5985
64,5974
65,5936
66,5944
67,5887
68,5903
69,5896
70,5904
71,5904
72,5882
73,5903
74,5908
75,5925
76,5921
77,5913
78,5961
79,5921
80,5929
81,5930
82,5961
83,5987
84,5984
85,6020
86,6031
87,5970
88,5963
89,5956
90,5906
91,5806
92,5776
93,5626
94,5425
95,5305
96,5306
97,5335
98,5477
99,5552
100,5521
101,5533
102,5493
103,5483
104,5459
105,5433
106,5440
107,5425
108,5378
109,5352
110,5368
111,5369
112,5397
113,5408
114,5382
115,5347
116,5383
117,5401
118,5390
119,5362
120,5397
121,5397
122,5429
123,5469
124,5497
125,5440
126,5470
127,5518
128,5521
129,5535
130,5538
131,5505
132,5479
133,5495
134,5484
135,5496
136,5501
137,5468
138,5436
139,5452
140,5464
141,5478
142,5506
143,5512
144,5543
145,5575
146,5584
147,5614
148,5641
149,5671
150,5719
151,5682
152,5701
153,5683
154,5692
155,5675
156,5641
157,5608
158,5571
159,5627
160,5650
161,5621
162,5614
163,5599
164,5572
165,5603
166,5672
167,5620
168,5629
