,Counts
0,5886
1,5840
2,5839
3,5881
4,5852
5,5893
6,5912
7,5921
8,5948
9,5944
10,5948
11,5968
12,5950
13,5933
14,5939
15,5946
16,5906
17,5913
18,5897
19,5900
20,5877
21,5927
22,5933
23,5916
24,5901
25,5937
26,5947
27,5921
28,5939
29,5947
30,5943
31,5911
32,5952
33,5957
34,5948
35,5923
36,5919
37,5958
38,5926
39,5978
40,5948
41,5903
42,5869
43,5850
44,5833
45,5824
46,5810
47,5787
48,5768
49,5790
50,5789
51,5781
52,5754
53,5751
54,5799
55,5781
56,5789
57,5776
58,5805
59,5848
60,5809
61,5839
62,5805
63,5839
64,5826
65,5748
66,5742
67,5743
68,5698
69,5733
70,5726
71,5733
72,5688
73,5698
74,5716
75,5715
76,5721
77,5725
78,5729
79,5709
80,5723
81,5715
82,5750
83,5729
84,5743
85,5719
86,5711
87,5707
88,5735
89,5740
90,5709
91,5700
92,5691
93,5677
94,5651
95,5633
96,5643
97,5683
98,5649
99,5667
100,5659
101,5664
102,5676
103,5666
104,5672
105,5666
106,5681
107,5683
108,5663
109,5716
110,5650
111,5684
112,5681
113,5689
114,5676
115,5638
116,5661
117,5647
118,5643
119,5630
120,5644
121,5640
122,5619
123,5632
124,5622
125,5668
126,5650
127,5686
128,5706
129,5710
130,5688
131,5689
132,5695
133,5693
134,5741
135,5700
136,5741
137,5713
138,5704
139,5696
140,5717
141,5686
142,5731
143,5646
144,5659
145,5624
146,5667
147,5654
148,5653
149,5633
150,5678
151,5653
152,5662
153,5652
154,5647
155,5679
156,5667
157,5659
158,5656
159,5643
160,5649
161,5670
162,5633
163,5631
164,5635
165,5619
166,5666
167,5621
168,5624
