,Counts
0,5932
1,5945
2,5927
3,5964
4,5933
5,5957
6,5950
7,5923
8,5967
9,5970
10,5948
11,5980
12,5932
13,5929
14,5941
15,5963
16,5955
17,5916
18,5914
19,5939
20,5951
21,5922
22,5990
23,5962
24,5919
25,5942
26,5959
27,5971
28,5947
29,5953
30,5961
31,5971
32,5973
33,5974
34,5959
35,5936
36,5936
37,5926
38,5942
39,5931
40,5937
41,5937
42,5918
43,5941
44,5935
45,5945
46,5960
47,5936
48,5917
49,5949
50,5973
51,5987
52,5960
53,6015
54,6002
55,5992
56,6019
57,6023
58,6005
59,5997
60,6013
61,6009
62,6060
63,6007
64,5967
65,5996
66,6011
67,6018
68,6006
69,5976
70,5970
71,5987
72,5978
73,5987
74,5972
75,5977
76,5984
77,6052
78,6048
79,6005
80,6032
81,6028
82,6039
83,6060
84,6052
85,6044
86,6108
87,6076
88,6068
89,6068
90,6036
91,5982
92,5994
93,6014
94,5993
95,6006
96,5998
97,6010
98,6005
99,6015
100,6001
101,6024
102,6028
103,6020
104,6040
105,6033
106,6072
107,6065
108,6049
109,6079
110,6092
111,6114
112,6083
113,6084
114,6048
115,6038
116,5991
117,6011
118,5994
119,6013
120,6015
121,6001
122,6027
123,6008
124,6038
125,6004
126,6014
127,6031
128,6028
129,6028
130,6025
131,6048
132,6035
133,6051
134,6070
135,6040
136,6056
137,6026
138,6029
139,6044
140,6025
141,6021
142,6004
143,6013
144,6013
145,6005
146,6021
147,5994
148,5991
149,6008
150,6009
151,6016
152,6004
153,6021
154,6010
155,6012
156,6047
157,6072
158,6058
159,6062
160,6053
161,6048
162,6038
163,6068
164,6045
165,5984
166,5987
167,5975
168,5990
