,Counts
0,5803
1,5755
2,5779
3,5766
4,5786
5,5791
6,5772
7,5808
8,5823
9,5794
10,5817
11,5816
12,5833
13,5790
14,5840
15,5791
16,5765
17,5780
18,5729
19,5705
20,5706
21,5735
22,5736
23,5705
24,5721
25,5760
26,5725
27,5727
28,5729
29,5750
30,5721
31,5769
32,5726
33,5729
34,5744
35,5769
36,5766
37,5764
38,5768
39,5788
40,5755
41,5775
42,5762
43,5749
44,5753
45,5782
46,5764
47,5800
48,5767
49,5763
50,5757
51,5789
52,5778
53,5802
54,5767
55,5770
56,5805
57,5802
58,5802
59,5792
60,5815
61,5831
62,5842
63,5796
64,5837
65,5835
66,5805
67,5798
68,5793
69,5807
70,5786
71,5797
72,5825
73,5832
74,5835
75,5824
76,5838
77,5824
78,5827
79,5873
80,5859
81,5847
82,5854
83,5806
84,5848
85,5868
86,5858
87,5833
88,5858
89,5859
90,5831
91,5823
92,5870
93,5848
94,5847
95,5850
96,5860
97,5850
98,5885
99,5880
100,5886
101,5864
102,5893
103,5887
104,5855
105,5860
106,5854
107,5791
108,5818
109,5852
110,5843
111,5880
112,5838
113,5851
114,5866
115,5838
116,5860
117,5864
118,5871
119,5830
120,5827
121,5843
122,5804
123,5832
124,5864
125,5844
126,5842
127,5830
128,5847
129,5861
130,5836
131,5857
132,5871
133,5895
134,5887
135,5824
136,5840
137,5865
138,5874
139,5855
140,5880
141,5819
142,5809
143,5808
144,5816
145,5792
146,5808
147,5810
148,5802
149,5806
150,5830
151,5809
152,5818
153,5845
154,5857
155,5837
156,5861
157,5824
158,5830
159,5830
160,5824
161,5820
162,5832
163,5822
164,5816
165,5799
166,5855
167,5809
168,5856
