,Counts
0,6024
1,6025
2,6017
3,6023
4,6013
5,6032
6,5995
7,6052
8,6045
9,6043
10,6035
11,6050
12,6042
13,6043
14,6046
15,6045
16,6044
17,6019
18,5999
19,5993
20,5986
21,5975
22,5999
23,5981
24,5966
25,5970
26,5954
27,5951
28,5954
29,5979
30,5965
31,5962
32,5999
33,5993
34,6014
35,6024
36,6051
37,6024
38,6020
39,6003
40,6017
41,6007
42,6012
43,5999
44,5980
45,5942
46,5953
47,5911
48,5943
49,5950
50,5949
51,5927
52,5935
53,5947
54,5904
55,5951
56,5938
57,5956
58,5938
59,5950
60,5969
61,5976
62,5957
63,5941
64,5959
65,5940
66,5940
67,5939
68,5940
69,5963
70,5937
71,5938
72,5914
73,5925
74,5898
75,5924
76,5925
77,5929
78,5956
79,5923
80,5955
81,5964
82,5975
83,5944
84,5930
85,5963
86,5965
87,5960
88,5951
89,5939
90,5954
91,5935
92,5944
93,5945
94,5937
95,5943
96,5926
97,5938
98,5958
99,5914
100,5931
101,5951
102,5925
103,5969
104,5977
105,5923
106,5964
107,5953
108,5979
109,5941
110,5955
111,5979
112,5927
113,5981
114,5953
115,5975
116,5956
117,5963
118,5961
119,5940
120,5960
121,5933
122,5979
123,5974
124,5984
125,5977
126,5949
127,5984
128,5975
129,6003
130,6028
131,5980
132,5982
133,6003
134,5996
135,6029
136,5991
137,5971
138,5971
139,5960
140,5958
141,5955
142,5955
143,5939
144,5936
145,5941
146,5951
147,5976
148,5949
149,5952
150,5971
151,5923
152,5973
153,5973
154,5939
155,5965
156,5991
157,5966
158,5974
159,5982
160,5971
161,5959
162,5952
163,5967
164,5953
165,5947
166,5945
167,5944
168,5927
