,Counts
0,5600
1,5545
2,5565
3,5581
4,5559
5,5557
6,5563
7,5589
8,5587
9,5588
10,5608
11,5586
12,5579
13,5581
14,5564
15,5575
16,5600
17,5587
18,5587
19,5619
20,5642
21,5616
22,5610
23,5626
24,5630
25,5610
26,5598
27,5583
28,5586
29,5579
30,5555
31,5588
32,5560
33,5557
34,5592
35,5557
36,5577
37,5622
38,5583
39,5568
40,5561
41,5605
42,5598
43,5623
44,5650
45,5616
46,5611
47,5651
48,5608
49,5626
50,5581
51,5593
52,5618
53,5587
54,5579
55,5619
56,5586
57,5584
58,5604
59,5599
60,5581
61,5606
62,5574
63,5587
64,5597
65,5579
66,5556
67,5575
68,5557
69,5574
70,5559
71,5561
72,5591
73,5584
74,5591
75,5598
76,5589
77,5578
78,5601
79,5588
80,5600
81,5622
82,5601
83,5597
84,5654
85,5645
86,5655
87,5628
88,5633
89,5611
90,5622
91,5610
92,5643
93,5628
94,5592
95,5596
