,Counts
0,5754
1,5707
2,5725
3,5729
4,5783
5,5752
6,5803
7,5776
8,5789
9,5823
10,5837
11,5854
12,5833
13,5816
14,5830
15,5824
16,5816
17,5847
18,5834
19,5856
20,5843
21,5801
22,5805
23,5788
24,5803
25,5755
26,5779
27,5766
28,5786
29,5791
30,5772
31,5808
32,5823
33,5794
34,5817
35,5816
36,5833
37,5790
38,5840
39,5791
40,5765
41,5780
42,5729
43,5705
44,5706
45,5735
46,5736
47,5705
48,5721
49,5760
50,5725
51,5727
52,5729
53,5750
54,5721
55,5769
56,5726
57,5729
58,5744
59,5769
60,5766
61,5764
62,5768
63,5788
64,5755
65,5775
66,5762
67,5749
68,5753
69,5782
70,5764
71,5800
72,5767
73,5763
74,5757
75,5789
76,5778
77,5802
78,5767
79,5770
80,5805
81,5802
82,5802
83,5792
84,5815
85,5831
86,5842
87,5796
88,5837
89,5835
90,5805
91,5798
92,5793
93,5807
94,5786
95,5797
96,5825
97,5832
98,5835
99,5824
100,5838
101,5824
102,5827
103,5873
104,5859
105,5847
106,5854
107,5806
108,5848
109,5868
110,5858
111,5833
112,5858
113,5859
114,5831
115,5823
116,5870
117,5848
118,5847
119,5850
120,5860
121,5850
122,5885
123,5880
124,5886
125,5864
126,5893
127,5887
128,5855
129,5860
130,5854
131,5791
132,5818
133,5852
134,5843
135,5880
136,5838
137,5851
138,5866
139,5838
140,5860
141,5864
142,5871
143,5830
144,5827
145,5843
146,5804
147,5832
148,5864
149,5844
150,5842
151,5830
152,5847
153,5861
154,5836
155,5857
156,5871
157,5895
158,5887
159,5824
160,5840
161,5865
162,5874
163,5855
164,5880
165,5819
166,5809
167,5808
168,5816
