,Counts
0,6162
1,6193
2,6170
3,6190
4,6194
5,6197
6,6174
7,6206
8,6165
9,6210
10,6211
11,6193
12,6210
13,6206
14,6220
15,6179
16,6191
17,6180
18,6166
19,6173
20,6161
21,6159
22,6216
23,6201
24,6215
25,6195
26,6177
27,6194
28,6196
29,6215
30,6224
31,6235
32,6220
33,6210
34,6267
35,6201
36,6215
37,6243
38,6216
39,6229
40,6211
41,6228
42,6237
43,6248
44,6222
45,6225
46,6217
47,6214
48,6227
49,6174
50,6222
51,6167
52,6189
53,6230
54,6197
55,6195
56,6201
57,6201
58,6261
59,6218
60,6233
61,6239
62,6194
63,6241
64,6206
65,6256
66,6237
67,6209
68,6219
69,6209
70,6192
71,6203
72,6212
73,6203
74,6215
75,6200
76,6222
77,6223
78,6195
79,6216
80,6210
81,6229
82,6215
83,6231
84,6213
85,6227
86,6295
87,6274
88,6216
89,6232
90,6251
91,6228
92,6237
93,6213
94,6218
95,6236
96,6237
97,6230
98,6251
99,6252
100,6254
101,6219
102,6246
103,6243
104,6228
105,6271
106,6260
107,6263
108,6238
109,6226
110,6252
111,6255
112,6255
113,6244
114,6231
115,6244
116,6229
117,6209
118,6241
119,6217
120,6185
121,6204
122,6156
123,6172
124,6178
125,6168
126,6214
127,6200
128,6144
129,6142
130,6201
131,6272
132,6221
133,6273
134,6267
135,6272
136,6262
137,6251
138,6247
139,6234
140,6159
141,6093
142,6074
143,6046
144,6062
145,6061
146,6053
147,6029
148,6034
149,6086
150,6107
151,6086
152,6136
153,6099
154,6129
155,6078
156,6115
157,6068
158,6084
159,6078
160,6055
161,6080
162,6075
163,6056
164,6067
165,6020
166,6038
167,6030
168,6033
