,Counts
0,6183
1,6197
2,6235
3,6214
4,6203
5,6242
6,6194
7,6232
8,6221
9,6233
10,6234
11,6211
12,6228
13,6216
14,6236
15,6242
16,6237
17,6230
18,6202
19,6194
20,6214
21,6220
22,6209
23,6202
24,6220
25,6235
26,6250
27,6241
28,6260
29,6225
30,6255
31,6260
32,6271
33,6236
34,6262
35,6238
36,6281
37,6230
38,6226
39,6251
40,6200
41,6246
42,6243
43,6236
44,6254
45,6216
46,6191
47,6240
48,6223
49,6195
50,6226
51,6214
52,6212
53,6244
54,6237
55,6224
56,6241
57,6222
58,6195
59,6256
60,6250
61,6235
62,6217
63,6209
64,6201
65,6195
66,6194
67,6205
68,6214
69,6243
70,6220
71,6205
72,6217
73,6213
74,6197
75,6188
76,6222
77,6216
78,6198
79,6231
80,6217
81,6231
82,6233
83,6258
84,6226
85,6245
86,6215
87,6194
88,6202
89,6218
90,6213
91,6180
92,6239
93,6183
94,6225
95,6211
96,6196
97,6199
98,6194
99,6186
100,6226
101,6227
102,6237
103,6256
104,6228
105,6267
106,6253
107,6296
108,6276
109,6263
110,6249
111,6259
112,6287
113,6270
114,6257
115,6250
116,6250
117,6235
118,6276
119,6238
120,6281
121,6235
122,6273
123,6254
124,6212
125,6279
126,6256
127,6321
128,6314
129,6324
130,6328
131,6298
132,6334
133,6321
134,6299
135,6332
136,6284
137,6305
138,6292
139,6318
140,6311
141,6328
142,6264
143,6251
144,6260
145,6291
146,6292
147,6268
148,6263
149,6255
150,6263
151,6301
152,6308
153,6320
154,6312
155,6336
156,6290
157,6317
158,6317
159,6304
160,6297
161,6312
162,6288
163,6299
164,6324
165,6334
166,6296
167,6295
168,6315
