Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
2003-01-01T00:00:00Z,1.0000000,5890,5834,997.48
2003-01-01T01:00:00Z,1.0416667,5882,5803,996.95
2003-01-01T02:00:00Z,1.0833333,5926,5838,996.76
2003-01-01T03:00:00Z,1.1250000,5931,5846,996.83
2003-01-01T04:00:00Z,1.1666667,5923,5836,996.78
2003-01-01T05:00:00Z,1.2083333,5917,5838,996.96
2003-01-01T06:00:00Z,1.2500000,5903,5837,997.25
2003-01-01T07:00:00Z,1.2916667,5888,5849,997.87
2003-01-01T08:00:00Z,1.3333333,5871,5848,998.23
2003-01-01T09:00:00Z,1.3750000,5898,5880,998.36
2003-01-01T10:00:00Z,1.4166667,5869,5855,998.44
2003-01-01T11:00:00Z,1.4583333,5891,5867,998.21
2003-01-01T12:00:00Z,1.5000000,5920,5875,997.74
2003-01-01T13:00:00Z,1.5416667,5906,5847,997.42
2003-01-01T14:00:00Z,1.5833333,5925,5843,996.89
2003-01-01T15:00:00Z,1.6250000,5992,5887,996.39
2003-01-01T16:00:00Z,1.6666667,6018,5883,995.71
2003-01-01T17:00:00Z,1.7083333,5992,5833,995.14
2003-01-01T18:00:00Z,1.7500000,6046,5862,994.59
2003-01-01T19:00:00Z,1.7916667,6019,5829,994.44
2003-01-01T20:00:00Z,1.8333333,6021,5829,994.40
2003-01-01T21:00:00Z,1.8750000,6036,5840,994.31
2003-01-01T22:00:00Z,1.9166667,6034,5838,994.31
2003-01-01T23:00:00Z,1.9583333,6023,5837,994.52
2003-01-02T00:00:00Z,2.0000000,6010,5823,994.50
2003-01-02T01:00:00Z,2.0416667,6016,5825,994.42
2003-01-02T02:00:00Z,2.0833333,6015,5824,994.42
2003-01-02T03:00:00Z,2.1250000,6032,5835,994.29
2003-01-02T04:00:00Z,2.1666667,6000,5800,994.18
2003-01-02T05:00:00Z,2.2083333,6033,5830,994.14
2003-01-02T06:00:00Z,2.2500000,6056,5860,994.33
2003-01-02T07:00:00Z,2.2916667,6046,5863,994.61
2003-01-02T08:00:00Z,2.3333333,6016,5838,994.71
2003-01-02T09:00:00Z,2.3750000,6021,5851,994.89
2003-01-02T10:00:00Z,2.4166667,6001,5838,995.05
2003-01-02T11:00:00Z,2.4583333,6017,5863,995.27
2003-01-02T12:00:00Z,2.5000000,5993,5844,995.37
2003-01-02T13:00:00Z,2.5416667,6001,5856,995.47
2003-01-02T14:00:00Z,2.5833333,5978,5840,995.62
2003-01-02T15:00:00Z,2.6250000,5949,5826,995.95
2003-01-02T16:00:00Z,2.6666667,5970,5858,996.21
2003-01-02T17:00:00Z,2.7083333,5948,5857,996.68
2003-01-02T18:00:00Z,2.7500000,5957,5883,997.08
2003-01-02T19:00:00Z,2.7916667,5907,5852,997.51
2003-01-02T20:00:00Z,2.8333333,5879,5846,998.00
2003-01-02T21:00:00Z,2.8750000,5846,5836,998.53
2003-01-02T22:00:00Z,2.9166667,5806,5820,999.09
2003-01-02T23:00:00Z,2.9583333,5789,5835,999.83
2003-01-03T00:00:00Z,3.0000000,5735,5795,1000.17
2003-01-03T01:00:00Z,3.0416667,5733,5808,1000.52
2003-01-03T02:00:00Z,3.0833333,5732,5817,1000.77
2003-01-03T03:00:00Z,3.1250000,5722,5820,1001.07
