Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
2023-01-01T00:00:00Z,1.0000000,7338,6238,977.80
2023-01-01T01:00:00Z,1.0416667,7302,6258,978.88
2023-01-01T02:00:00Z,1.0833333,7234,6240,979.78
2023-01-01T03:00:00Z,1.1250000,7245,6292,980.68
2023-01-01T04:00:00Z,1.1666667,7179,6276,981.58
2023-01-01T05:00:00Z,1.2083333,7135,6288,982.66
2023-01-01T06:00:00Z,1.2500000,7040,6260,983.87
2023-01-01T07:00:00Z,1.2916667,6997,6264,984.79
2023-01-01T08:00:00Z,1.3333333,6965,6261,985.32
2023-01-01T09:00:00Z,1.3750000,6960,6284,985.94
2023-01-01T10:00:00Z,1.4166667,6984,6325,986.34
2023-01-01T11:00:00Z,1.4583333,6977,6336,986.73
2023-01-01T12:00:00Z,1.5000000,6911,6306,987.37
2023-01-01T13:00:00Z,1.5416667,6889,6317,988.03
2023-01-01T14:00:00Z,1.5833333,6815,6285,988.80
2023-01-01T15:00:00Z,1.6250000,6793,6310,989.78
2023-01-01T16:00:00Z,1.6666667,6720,6294,990.90
2023-01-01T17:00:00Z,1.7083333,6659,6294,992.11
2023-01-01T18:00:00Z,1.7500000,6579,6268,993.21
2023-01-01T19:00:00Z,1.7916667,6519,6274,994.57
2023-01-01T20:00:00Z,1.8333333,6468,6292,996.01
2023-01-01T21:00:00Z,1.8750000,6400,6272,997.02
2023-01-01T22:00:00Z,1.9166667,6379,6299,998.05
2023-01-01T23:00:00Z,1.9583333,6327,6290,998.95
2023-01-02T00:00:00Z,2.0000000,6302,6299,999.67
2023-01-02T01:00:00Z,2.0416667,6236,6277,1000.63
2023-01-02T02:00:00Z,2.0833333,6214,6293,1001.45
2023-01-02T03:00:00Z,2.1250000,6156,6278,1002.40
2023-01-02T04:00:00Z,2.1666667,6124,6287,1003.29
2023-01-02T05:00:00Z,2.2083333,6109,6303,1003.96
2023-01-02T06:00:00Z,2.2500000,6084,6318,1004.85
2023-01-02T07:00:00Z,2.2916667,6025,6297,1005.73
2023-01-02T08:00:00Z,2.3333333,5964,6274,1006.59
2023-01-02T09:00:00Z,2.3750000,5953,6282,1007.00
2023-01-02T10:00:00Z,2.4166667,5948,6308,1007.70
2023-01-02T11:00:00Z,2.4583333,5931,6302,1007.96
2023-01-02T12:00:00Z,2.5000000,5901,6290,1008.35
2023-01-02T13:00:00Z,2.5416667,5947,6340,1008.39
2023-01-02T14:00:00Z,2.5833333,5956,6358,1008.57
2023-01-02T15:00:00Z,2.6250000,5952,6350,1008.50
2023-01-02T16:00:00Z,2.6666667,5909,6306,1008.54
2023-01-02T17:00:00Z,2.7083333,5908,6303,1008.47
2023-01-02T18:00:00Z,2.7500000,5933,6331,1008.52
2023-01-02T19:00:00Z,2.7916667,5915,6309,1008.45
2023-01-02T20:00:00Z,2.8333333,5907,6301,1008.46
2023-01-02T21:00:00Z,2.8750000,5922,6311,1008.36
2023-01-02T22:00:00Z,2.9166667,5916,6305,1008.35
2023-01-02T23:00:00Z,2.9583333,5953,6339,1008.23
2023-01-03T00:00:00Z,3.0000000,5934,6310,1008.04
2023-01-03T01:00:00Z,3.0416667,5914,6285,1007.96
2023-01-03T02:00:00Z,3.0833333,5957,6315,1007.62
2023-01-03T03:00:00Z,3.1250000,5959,6314,1007.57
2023-01-03T04:00:00Z,3.1666667,5977,6328,1007.44
2023-01-03T05:00:00Z,3.2083333,5990,6341,1007.45
2023-01-03T06:00:00Z,3.2500000,5970,6325,1007.55
2023-01-03T07:00:00Z,3.2916667,5968,6356,1008.26
2023-01-03T08:00:00Z,3.3333333,5943,6359,1008.88
2023-01-03T09:00:00Z,3.3750000,5936,6377,1009.43
2023-01-03T10:00:00Z,3.4166667,5907,6353,1009.58
2023-01-03T11:00:00Z,3.4583333,5888,6352,1009.99
2023-01-03T12:00:00Z,3.5000000,5871,6354,1010.41
2023-01-03T13:00:00Z,3.5416667,5832,6341,1011.05
2023-01-03T14:00:00Z,3.5833333,5813,6350,1011.67
2023-01-03T15:00:00Z,3.6250000,5779,6341,1012.29
2023-01-03T16:00:00Z,3.6666667,5750,6340,1012.93
2023-01-03T17:00:00Z,3.7083333,5695,6307,1013.53
2023-01-03T18:00:00Z,3.7500000,5716,6360,1014.16
2023-01-03T19:00:00Z,3.7916667,5664,6329,1014.74
2023-01-03T20:00:00Z,3.8333333,5645,6338,1015.39
2023-01-03T21:00:00Z,3.8750000,5626,6341,1015.92
2023-01-03T22:00:00Z,3.9166667,5599,6338,1016.51
2023-01-03T23:00:00Z,3.9583333,5533,6293,1017.15
2023-01-04T00:00:00Z,4.0000000,5448,6221,1017.69
2023-01-04T01:00:00Z,4.0416667,5446,6235,1018.04
2023-01-04T02:00:00Z,4.0833333,5436,6239,1018.37
2023-01-04T03:00:00Z,4.1250000,5411,6217,1018.51
2023-01-04T04:00:00Z,4.1666667,5417,6231,1018.66
2023-01-04T05:00:00Z,4.2083333,5430,6239,1018.53
2023-01-04T06:00:00Z,4.2500000,5451,6256,1018.37
2023-01-04T07:00:00Z,4.2916667,5412,6203,1018.18
2023-01-04T08:00:00Z,4.3333333,5466,6270,1018.30
2023-01-04T09:00:00Z,4.3750000,5452,6250,1018.18
2023-01-04T10:00:00Z,4.4166667,5473,6267,1018.04
2023-01-04T11:00:00Z,4.4583333,5470,6264,1018.05
2023-01-04T12:00:00Z,4.5000000,5459,6252,1018.08
2023-01-04T13:00:00Z,4.5416667,5477,6272,1018.06
2023-01-04T14:00:00Z,4.5833333,5421,6210,1018.11
2023-01-04T15:00:00Z,4.6250000,5410,6196,1018.05
2023-01-04T16:00:00Z,4.6666667,5385,6168,1018.08
2023-01-04T17:00:00Z,4.7083333,5387,6174,1018.17
2023-01-04T18:00:00Z,4.7500000,5352,6135,1018.20
2023-01-04T19:00:00Z,4.7916667,5382,6172,1018.26
2023-01-04T20:00:00Z,4.8333333,5428,6224,1018.26
2023-01-04T21:00:00Z,4.8750000,5415,6216,1018.38
2023-01-04T22:00:00Z,4.9166667,5406,6222,1018.74
2023-01-04T23:00:00Z,4.9583333,5455,6286,1018.90
2023-01-05T00:00:00Z,5.0000000,5432,6272,1019.18
2023-01-05T01:00:00Z,5.0416667,5438,6294,1019.50
2023-01-05T02:00:00Z,5.0833333,5435,6302,1019.74
2023-01-05T03:00:00Z,5.1250000,5448,6323,1019.87
2023-01-05T04:00:00Z,5.1666667,5439,6322,1020.08
2023-01-05T05:00:00Z,5.2083333,5458,6350,1020.20
2023-01-05T06:00:00Z,5.2500000,5439,6341,1020.47
2023-01-05T07:00:00Z,5.2916667,5409,6327,1020.92
2023-01-05T08:00:00Z,5.3333333,5423,6369,1021.48
2023-01-05T09:00:00Z,5.3750000,5365,6324,1021.98
2023-01-05T10:00:00Z,5.4166667,5325,6297,1022.40
2023-01-05T11:00:00Z,5.4583333,5292,6274,1022.76
2023-01-05T12:00:00Z,5.5000000,5306,6308,1023.10
2023-01-05T13:00:00Z,5.5416667,5288,6306,1023.52
2023-01-05T14:00:00Z,5.5833333,5254,6281,1023.87
2023-01-05T15:00:00Z,5.6250000,5248,6292,1024.24
2023-01-05T16:00:00Z,5.6666667,5239,6295,1024.56
2023-01-05T17:00:00Z,5.7083333,5185,6245,1024.90
2023-01-05T18:00:00Z,5.7500000,5156,6223,1025.17
2023-01-05T19:00:00Z,5.7916667,5159,6246,1025.59
2023-01-05T20:00:00Z,5.8333333,5127,6226,1026.00
2023-01-05T21:00:00Z,5.8750000,5139,6252,1026.23
2023-01-05T22:00:00Z,5.9166667,5129,6252,1026.51
2023-01-05T23:00:00Z,5.9583333,5108,6234,1026.65
2023-01-06T00:00:00Z,6.0000000,5120,6256,1026.82
2023-01-06T01:00:00Z,6.0416667,5104,6244,1026.98
2023-01-06T02:00:00Z,6.0833333,5082,6218,1027.02
2023-01-06T03:00:00Z,6.1250000,5106,6248,1027.02
2023-01-06T04:00:00Z,6.1666667,5108,6245,1026.89
2023-01-06T05:00:00Z,6.2083333,5107,6242,1026.87
2023-01-06T06:00:00Z,6.2500000,5112,6243,1026.75
2023-01-06T07:00:00Z,6.2916667,5129,6266,1026.80
2023-01-06T08:00:00Z,6.3333333,5122,6261,1026.87
2023-01-06T09:00:00Z,6.3750000,5175,6323,1026.83
2023-01-06T10:00:00Z,6.4166667,5183,6331,1026.79
2023-01-06T11:00:00Z,6.4583333,5185,6318,1026.45
2023-01-06T12:00:00Z,6.5000000,5238,6368,1026.13
2023-01-06T13:00:00Z,6.5416667,5218,6336,1025.96
2023-01-06T14:00:00Z,6.5833333,5197,6308,1025.93
2023-01-06T15:00:00Z,6.6250000,5183,6293,1025.97
2023-01-06T16:00:00Z,6.6666667,5175,6271,1025.71
2023-01-06T17:00:00Z,6.7083333,5180,6267,1025.49
2023-01-06T18:00:00Z,6.7500000,5193,6276,1025.33
2023-01-06T19:00:00Z,6.7916667,5156,6234,1025.41
2023-01-06T20:00:00Z,6.8333333,5115,6186,1025.43
2023-01-06T21:00:00Z,6.8750000,5137,6218,1025.54
2023-01-06T22:00:00Z,6.9166667,5115,6190,1025.52
2023-01-06T23:00:00Z,6.9583333,5127,6201,1025.45
2023-01-07T00:00:00Z,7.0000000,5158,6237,1025.41
2023-01-07T01:00:00Z,7.0416667,5147,6210,1025.14
2023-01-07T02:00:00Z,7.0833333,5167,6221,1024.84
2023-01-07T03:00:00Z,7.1250000,5185,6233,1024.62
2023-01-07T04:00:00Z,7.1666667,5191,6238,1024.57
2023-01-07T05:00:00Z,7.2083333,5244,6297,1024.47
2023-01-07T06:00:00Z,7.2500000,5224,6266,1024.31
2023-01-07T07:00:00Z,7.2916667,5206,6237,1024.16
2023-01-07T08:00:00Z,7.3333333,5224,6262,1024.24
2023-01-07T09:00:00Z,7.3750000,5221,6255,1024.16
2023-01-07T10:00:00Z,7.4166667,5204,6218,1023.80
2023-01-07T11:00:00Z,7.4583333,5244,6249,1023.45
2023-01-07T12:00:00Z,7.5000000,5278,6281,1023.24
2023-01-07T13:00:00Z,7.5416667,5303,6288,1022.77
2023-01-07T14:00:00Z,7.5833333,5284,6244,1022.31
2023-01-07T15:00:00Z,7.6250000,5328,6287,1022.11
2023-01-07T16:00:00Z,7.6666667,5333,6281,1021.85
2023-01-07T17:00:00Z,7.7083333,5358,6292,1021.47
2023-01-07T18:00:00Z,7.7500000,5363,6278,1021.01
2023-01-07T19:00:00Z,7.7916667,5374,6283,1020.86
2023-01-07T20:00:00Z,7.8333333,5395,6297,1020.63
2023-01-07T21:00:00Z,7.8750000,5360,6245,1020.39
2023-01-07T22:00:00Z,7.9166667,5404,6278,1019.99
2023-01-07T23:00:00Z,7.9583333,5388,6249,1019.76
2023-01-08T00:00:00Z,8.0000000,5401,6246,1019.40
2023-01-08T01:00:00Z,8.0416667,5430,6262,1019.00
2023-01-08T02:00:00Z,8.0833333,5488,6304,1018.50
2023-01-08T03:00:00Z,8.1250000,5431,6229,1018.26
2023-01-08T04:00:00Z,8.1666667,5483,6275,1017.98
2023-01-08T05:00:00Z,8.2083333,5490,6267,1017.64
