Date,Time,CPA,Width,Speed_km_s,KineticEnergy_J
2000/11/24,15:30:05,Halo,360,1245,1.4e+16*
2000/11/24,22:06:05,Halo,360,1005,1.6e+16*
2000/11/25,01:31:58,Halo,360,2519,1.2e+16*
2000/11/25,09:30:17,Halo,360,675,5.8e+15*
2000/11/25,19:31:57,Halo,360,671,1.5e+16*
2000/11/26,17:06:05,Halo,360,980,1.3e+16*
2000/12/06,17:26:05,Halo,360,413,2.2e+16*
2000/12/13,16:26:05,Halo,360,1067,2.9e+15*
2000/12/14,17:06:05,Halo,360,725,3.2e+15*
2000/12/18,11:50:05,Halo,360,510,2.3e+15*
2000/12/28,12:06:05,Halo,360,930,1.3e+16*
2001/01/10,00:54:05,Halo,360,832,1.7e+16*
2001/01/20,19:31:50,Halo,360,839,2.8e+16*
2001/01/20,21:30:08,Halo,360,1507,1.8e+16*
2001/01/23,04:54:05,Halo,360,283,1.7e+15*
2001/01/28,15:54:05,Halo,360,916,1.2e+16*
2001/02/02,14:54:05,Halo,360,438,8.8e+15*
2001/02/10,05:54:05,Halo,360,956,1.5e+15*
2001/02/11,01:31:48,Halo,360,1183,8.3e+15*
2001/02/15,13:54:05,Halo,360,625,9.1e+15*
2001/03/18,02:26:05,Halo,360,752,2.7e+15*
2001/03/19,05:26:05,Halo,360,389,1.2e+15*
2001/03/24,20:50:05,Halo,360,906,6.8e+15*
2001/03/25,17:06:05,Halo,360,677,3.3e+15*
2001/03/28,01:27:27,Halo,360,427,8.2e+15*
2001/03/28,12:50:05,Halo,360,519,3.0e+15*
2001/03/29,10:26:05,Halo,360,942,2.8e+15*
2001/04/01,11:26:06,Halo,360,1475,1.0e+16*
2001/04/05,17:06:05,Halo,360,1390,1.6e+16*
2001/04/06,19:30:02,Halo,360,1270,8.4e+15*
2001/04/09,15:54:02,Halo,360,1192,4.5e+15*
2001/04/10,05:30:00,Halo,360,2411,9.1e+15*
2001/04/11,13:31:48,Halo,360,1103,5.3e+15*
2001/04/12,10:31:29,Halo,360,1184,5.1e+15*
2001/04/18,02:30:05,Halo,360,2465,6.1e+15*
2001/04/26,12:30:05,Halo,360,1006,1.2e+16*
2001/06/15,15:56:27,Halo,360,1701,7.4e+15*
2001/06/20,19:54:05,Halo,360,1407,4.5e+15*
2001/06/24,07:31:52,Halo,360,1094,3.3e+15*
2001/08/15,23:54:05,Halo,360,1575,1.1e+16*
2001/08/19,06:06:05,Halo,360,556,4.2e+15*
2001/08/25,16:50:05,Halo,360,1433,7.9e+15*
2001/08/31,16:11:33,Halo,360,310,4.4e+14*
2001/09/11,14:54:05,Halo,360,791,6.5e+15*
2001/09/18,21:18:24,Halo,360,451,1.0e+16*
2001/09/21,03:54:07,Halo,360,436,2.7e+14*
2001/09/23,20:30:05,Halo,360,478,1.7e+16*
2001/09/24,10:30:59,Halo,360,2402,2.2e+16*
2001/09/28,08:54:34,Halo,360,846,2.0e+16*
2001/10/01,05:30:05,Halo,360,1405,2.6e+16*
2001/10/05,10:30:27,Halo,360,1537,1.8e+16*
2001/10/09,11:30:05,Halo,360,973,1.2e+16*
2001/10/19,01:27:17,Halo,360,558,6.3e+15*
2001/10/19,16:50:05,Halo,360,901,9.0e+15*
2001/10/20,02:26:05,Halo,360,764,1.4e+16*
