Date,Time,CPA,Width,Speed_km_s,KineticEnergy_J
2012/09/21,06:24:05,Halo,360,639,9.4e+15*
2012/09/27,10:12:05,Halo,360,1319,7.4e+15*
2012/09/28,00:12:05,Halo,360,947,9.2e+15*
2012/09/28,10:36:05,Halo,360,768,1.8e+15*
2012/09/29,00:12:05,Halo,360,755,1.5e+15*
2012/10/14,00:48:05,Halo,360,987,6.7e+15*
2012/11/08,02:36:06,Halo,360,855,1.0e+16*
2012/11/08,11:00:08,Halo,360,972,1.1e+16*
2012/11/16,00:48:06,Halo,360,667,3.5e+15*
2012/11/16,07:24:14,Halo,360,775,6.9e+15*
2012/11/20,12:00:07,Halo,360,619,8.4e+15*
2012/11/21,04:24:07,Halo,360,920,2.2e+15*
2012/11/23,11:00:05,Halo,360,342,9.2e+15*
2012/11/23,13:48:06,Halo,360,519,6.9e+15*
2012/11/23,23:24:05,Halo,360,1186,1.4e+15*
2012/11/27,02:36:05,Halo,360,844,1.3e+16*
2012/12/02,16:36:05,Halo,360,678,6.2e+15*
2012/12/02,19:00:06,Halo,360,478,1.4e+15*
2013/02/26,09:12:08,Halo,360,987,9.3e+15*
2013/03/05,03:48:05,Halo,360,1316,1.9e+16*
2013/03/15,07:12:05,Halo,360,1063,1.3e+16*
2013/04/11,07:24:06,Halo,360,861,2.2e+16*
2013/04/21,07:24:07,Halo,360,919,1.2e+16*
2013/04/24,00:48:05,Halo,360,699,3.0e+15*
2013/05/01,03:12:08,Halo,360,762,1.0e+16*
2013/05/13,02:00:05,Halo,360,1270,1.6e+16*
2013/05/13,16:07:55,Halo,360,1850,1.1e+16*
2013/05/14,01:25:51,Halo,360,2625,4.7e+15*
2013/05/15,01:48:05,Halo,360,1366,1.0e+16*
2013/05/17,09:12:10,Halo,360,1345,5.8e+15*
2013/05/22,13:25:50,Halo,360,1466,3.3e+16*
2013/06/13,04:24:07,Halo,360,763,1.8e+16*
2013/06/24,04:00:05,Halo,360,709,3.4e+15*
2013/06/25,11:12:05,Halo,360,349,1.4e+15*
2013/06/28,02:00:05,Halo,360,1037,6.6e+15*
2013/09/24,20:36:05,Halo,360,919,1.0e+16*
2013/09/29,22:12:05,Halo,360,1179,2.2e+16*
2013/10/05,07:09:51,Halo,360,964,6.7e+15*
2013/10/11,07:24:10,Halo,360,1200,1.0e+16*
2013/10/25,08:12:05,Halo,360,587,5.2e+15*
2013/10/25,15:12:09,Halo,360,1081,7.1e+15*
2013/10/26,11:24:05,Halo,360,796,1.1e+16*
2013/10/28,02:24:05,Halo,360,695,8.6e+15*
2013/10/28,15:36:05,Halo,360,812,9.3e+15*
2013/10/29,22:00:06,Halo,360,1001,1.1e+16*
2013/11/02,04:48:05,Halo,360,828,1.6e+16*
2013/11/04,05:12:05,Halo,360,1040,4.8e+15*
2013/11/07,00:00:06,Halo,360,1033,7.3e+15*
2013/11/07,10:36:05,Halo,360,1405,1.9e+16*
2013/11/08,03:24:07,Halo,360,497,8.8e+15*
2013/11/19,10:36:05,Halo,360,740,1.1e+16*
2013/11/21,01:36:07,Halo,360,395,2.3e+14*
2013/12/07,07:36:05,Halo,360,1085,4.0e+15*
2013/12/13,21:24:05,Halo,360,518,1.4e+16*
2013/12/26,03:24:05,Halo,360,1336,5.6e+15*
2013/12/28,17:36:06,Halo,360,1118,1.2e+16*
2014/01/06,08:00:05,Halo,360,1402,2.0e+16*
2014/01/07,18:24:05,Halo,360,1830,2.2e+16*
2014/01/20,15:24:05,Halo,360,675,1.2e+15*
2014/01/20,22:00:05,Halo,360,721,2.6e+15*
2014/01/29,00:36:05,Halo,360,640,3.2e+15*
2014/01/30,08:24:05,Halo,360,458,4.5e+15*
2014/01/30,16:24:05,Halo,360,1087,1.0e+16*
2014/02/09,16:00:06,Halo,360,908,7.2e+15*
2014/02/12,06:00:05,Halo,360,373,5.0e+15*
2014/02/12,23:06:13,Halo,360,872,1.6e+15*
2014/02/14,08:48:26,Halo,360,1165,8.8e+15*
2014/02/18,01:36:21,Halo,360,779,1.1e+16*
2014/02/19,04:48:05,Halo,360,612,3.5e+15*
2014/02/20,03:12:09,Halo,360,993,4.1e+15*
2014/02/20,08:00:07,Halo,360,948,8.7e+15*
2014/02/21,16:00:05,Halo,360,1252,7.2e+15*
2014/02/25,01:25:50,Halo,360,2147,2.2e+16*
2014/03/04,18:48:05,Halo,360,794,1.1e+16*
2014/03/05,09:24:05,Halo,360,864,1.4e+16*
2014/03/05,13:48:05,Halo,360,828,5.5e+15*
2014/03/12,14:48:05,Halo,360,972,5.2e+15*
2014/03/20,04:36:06,Halo,360,740,4.5e+15*
2014/03/23,03:36:05,Halo,360,820,8.3e+15*
2014/03/29,18:12:05,Halo,360,528,5.0e+15*
2014/04/02,13:36:20,Halo,360,1471,1.4e+16*
2014/04/08,23:12:12,Halo,360,514,6.7e+15*
2014/04/18,13:25:51,Halo,360,1203,2.0e+16*
2014/05/07,16:24:05,Halo,360,923,1.3e+16*
2014/05/08,03:24:05,Halo,360,847,2.6e+15*
2014/05/09,02:48:05,Halo,360,1099,1.3e+16*
2014/05/10,04:36:05,Halo,360,1086,9.4e+15*
2014/06/04,12:48:05,Halo,360,467,1.6e+16*
2014/06/06,13:48:05,Halo,360,1200,5.7e+15*
2014/06/10,13:30:23,Halo,360,1469,1.7e+16*
2014/06/17,09:12:09,Halo,360,1198,5.9e+15*
2014/07/08,16:36:05,Halo,360,773,1.2e+16*
2014/08/01,18:36:05,Halo,360,789,4.3e+15*
2014/08/12,05:36:05,Halo,360,641,5.7e+15*
2014/08/15,17:48:07,Halo,360,342,2.3e+15*
2014/08/22,11:12:05,Halo,360,600,9.7e+14*
2014/08/24,12:36:05,Halo,360,551,9.3e+15*
2014/08/25,15:36:05,Halo,360,555,1.6e+16*
2014/08/28,17:24:05,Halo,360,766,1.0e+16*
2014/09/01,11:12:05,Halo,360,1901,1.6e+16*
2014/09/01,22:24:05,Halo,360,1404,3.7e+15*
2014/09/09,00:06:26,Halo,360,920,1.2e+16*
2014/09/10,18:00:05,Halo,360,1267,2.1e+16*
2014/09/22,08:48:06,Halo,360,761,4.2e+15*
2014/09/23,07:24:05,Halo,360,773,2.1e+15*
2014/09/24,21:30:06,Halo,360,1350,8.6e+15*
2014/09/26,04:28:16,Halo,360,1469,1.5e+16*
2014/10/14,18:48:06,Halo,360,848,3.0e+16*
2014/12/13,14:24:05,Halo,360,2222,1.4e+16*
2014/12/17,05:00:05,Halo,360,587,1.2e+16*
2014/12/19,01:04:42,Halo,360,1195,3.4e+15*
2014/12/21,12:12:05,Halo,360,669,5.6e+14*
2015/02/09,23:24:05,Halo,360,1106,1.4e+16*
2015/02/21,09:24:07,Halo,360,1120,2.3e+16*
2015/02/28,04:24:05,Halo,360,280,9.1e+15*
2015/02/28,21:36:05,Halo,360,999,3.8e+15*
2015/03/07,22:12:05,Halo,360,1261,2.7e+16*
2015/03/10,00:00:05,Halo,360,995,2.2e+16*
2015/03/10,03:36:05,Halo,360,1040,2.0e+16*
2015/03/15,01:48:05,Halo,360,719,3.0e+16*
2015/03/24,08:24:05,Halo,360,1794,1.4e+16*
2015/04/14,02:36:05,Halo,360,1198,8.8e+15*
2015/04/19,21:12:08,Halo,360,672,1.6e+15*
2015/04/23,09:36:05,Halo,360,857,2.1e+16*
2015/04/25,14:48:05,Halo,360,675,8.2e+15*
2015/04/26,03:24:05,Halo,360,820,5.8e+15*
2015/05/01,18:12:06,Halo,360,760,1.3e+16*
2015/05/02,20:24:05,Halo,360,335,1.3e+16*
2015/05/03,03:48:06,Halo,360,753,1.2e+16*
2015/05/04,03:12:10,Halo,360,1014,1.7e+15*
2015/05/04,09:48:05,Halo,360,688,1.9e+15*
2015/05/05,22:24:05,Halo,360,715,3.9e+16*
2015/05/13,18:48:05,Halo,360,438,4.1e+16*
2015/05/21,22:24:06,Halo,360,978,1.7e+16*
2015/06/01,13:48:05,Halo,360,748,3.4e+16*
2015/06/18,17:24:24,Halo,360,1305,1.8e+16*
2015/06/19,06:42:50,Halo,360,584,1.2e+16*
2015/06/21,02:36:05,Halo,360,1366,9.6e+15*
2015/06/22,18:36:05,Halo,360,1209,4.4e+15*
2015/06/25,08:36:05,Halo,360,1627,3.1e+16*
2015/07/01,14:36:04,Halo,360,1435,1.2e+16*
2015/09/20,18:12:04,Halo,360,1239,1.2e+16*
2015/10/22,03:12:07,Halo,360,817,1.2e+16*
2015/11/02,20:24:04,Halo,360,867,8.3e+16*
2015/11/04,14:48:04,Halo,360,578,6.6e+15*
2015/11/29,07:48:04,Halo,360,451,1.2e+16*
2015/12/16,14:24:04,Halo,360,454,1.6e+16*
2015/12/28,12:12:05,Halo,360,1212,1.9e+16*
2016/01/01,23:24:04,Halo,360,1730,7.3e+15*
2016/01/06,14:00:04,Halo,360,969,2.1e+16*
2016/01/14,23:24:05,Halo,360,191,3.0e+15*
2016/02/11,21:17:32,Halo,360,719,3.7e+15*
2016/02/20,14:24:04,Halo,360,491,8.1e+15*
2016/02/21,12:00:04,Halo,360,533,3.6e+15*
2017/04/10,23:12:12,Halo,360,304,5.7e+15*
2017/04/18,19:48:05,Halo,360,926,2.0e+16*
2017/07/14,01:25:41,Halo,360,1200,2.3e+16*
2017/07/23,04:48:05,Halo,360,1848,2.6e+16*
2017/09/04,20:36:05,Halo,360,1418,7.6e+15*
2017/09/06,12:24:05,Halo,360,1571,2.9e+16*
2017/09/10,16:00:05,Halo,360,3163,4.8e+16*
2017/09/17,12:00:06,Halo,360,1385,1.6e+16*
2018/02/12,01:25:18,Halo,360,661,6.2e+15*
2019/04/30,14:48:05,Halo,360,665,1.7e+15*
2023/03/06,03:12:10,Halo,360,873,5.6e+15*
2023/03/09,12:48:07,Halo,360,1030,1.8e+16*
2023/09/05,14:00:05,Halo,360,1539,1.8e+16*
2023/09/08,11:36:05,Halo,360,1001,8.7e+15*
2024/01/20,09:12:09,Halo,360,850,1.1e+16*
2024/01/21,00:24:05,Halo,360,918,3.9e+15*
2024/01/22,10:48:05,Halo,360,740,1.8e+16*
2024/01/29,04:24:05,Halo,360,1554,1.6e+16*
2024/01/30,20:57:34,Halo,360,637,1.7e+16*
2024/02/01,07:48:05,Halo,360,720,1.3e+16*
2024/02/06,11:48:05,Halo,360,980,1.6e+16*
2024/02/07,03:24:05,Halo,360,1452,2.2e+15*
2024/02/09,13:25:57,Halo,360,2782,1.1e+16*
2024/02/10,03:48:05,Halo,360,1418,2.1e+16*
2024/02/10,23:36:05,Halo,360,817,7.5e+15*
2024/02/12,06:36:05,Halo,360,2792,1.6e+16*
2024/02/14,04:12:05,Halo,360,2191,2.0e+16*
2024/02/15,09:24:07,Halo,360,1751,1.5e+16*
2024/02/16,01:36:33,Halo,360,1709,8.2e+15*
2024/02/17,13:36:27,Halo,360,1234,2.4e+16*
2024/02/17,14:48:05,Halo,360,1744,1.0e+16*
2024/02/18,10:00:05,Halo,360,1152,1.3e+16*
2024/03/15,01:59:31,Halo,360,1007,1.8e+16*
2024/03/15,02:21:55,Halo,360,769,1.6e+16*
2024/03/23,01:25:51,Halo,360,1470,1.6e+16*
2024/04/04,20:24:05,Halo,360,528,5.4e+14*
2024/04/11,19:00:05,Halo,360,825,1.6e+16*
2024/05/03,02:48:05,Halo,360,808,9.8e+15*
2024/05/08,05:36:06,Halo,360,530,2.7e+16*
2024/05/08,22:24:05,Halo,360,952,3.4e+16*
2024/05/09,09:24:05,Halo,360,1280,8.1e+15*
2024/05/09,18:52:00,Halo,360,1024,2.8e+15*
2024/05/10,07:12:05,Halo,360,953,1.2e+16*
2024/05/11,01:36:05,Halo,360,1614,2.5e+16*
2024/05/12,01:48:05,Halo,360,454,5.9e+15*
2024/05/13,08:48:06,Halo,360,1690,2.3e+16*
2024/05/14,17:00:05,Halo,360,2010,3.6e+16*
2024/05/14,17:48:05,Halo,360,1407,3.2e+16*
2024/05/15,08:36:07,Halo,360,1648,2.5e+16*
2024/05/15,20:56:53,Halo,360,1250,5.8e+15*
2024/05/16,17:36:06,Halo,360,717,9.0e+15*
2024/05/17,12:48:05,Halo,360,1160,5.1e+15*
2024/05/20,05:36:05,Halo,360,1459,3.7e+16*
2024/05/27,07:24:05,Halo,360,1291,3.5e+16*
2024/05/28,05:24:05,Halo,360,675,3.2e+16*
2024/05/29,14:48:05,Halo,360,823,2.3e+16*
2024/06/01,18:48:05,Halo,360,946,9.0e+15*
2024/06/08,01:48:05,Halo,360,1427,5.5e+16*
2024/06/11,23:06:13,Halo,360,1988,1.8e+16*
2024/06/17,08:24:05,Halo,360,691,2.1e+16*
2024/06/17,11:00:05,Halo,360,448,3.0e+15*
2024/07/10,21:24:05,Halo,360,1130,5.6e+15*
2024/07/21,16:48:05,Halo,360,601,8.9e+14*
2024/07/23,00:24:05,Halo,360,885,2.4e+16*
2024/07/23,14:12:05,Halo,360,1031,1.4e+16*
2024/07/27,04:48:05,Halo,360,1426,6.9e+15*
2024/07/29,13:25:54,Halo,360,956,7.8e+15*
2024/07/31,18:36:05,Halo,360,1118,6.7e+15*
2024/08/01,07:24:05,Halo,360,1024,1.6e+16*
2024/08/05,13:48:06,Halo,360,1155,1.6e+16*
2024/08/09,21:36:05,Halo,360,638,6.5e+15*
2024/08/10,03:12:10,Halo,360,475,5.9e+14*
2024/08/14,08:24:05,Halo,360,570,2.6e+16*
2024/08/22,15:37:10,Halo,360,630,6.3e+15*
2024/09/01,12:00:05,Halo,360,1381,3.7e+16*
2024/09/03,08:00:05,Halo,360,1265,1.4e+16*
2024/09/05,07:00:05,Halo,360,1274,2.6e+16*
2024/09/09,05:24:05,Halo,360,1522,3.8e+16*
2024/09/10,00:24:05,Halo,360,643,1.4e+16*
2024/09/14,15:36:06,Halo,360,2366,1.7e+16*
2024/09/22,21:36:05,Halo,360,1256,5.1e+15*
2024/10/03,12:48:05,Halo,360,821,1.6e+16*
2024/10/07,20:12:05,Halo,360,967,7.7e+16*
2024/10/09,02:12:06,Halo,360,1435,5.0e+16*
2024/10/24,03:48:05,Halo,360,2385,2.6e+16*
2024/10/26,06:36:05,Halo,360,1914,4.7e+16*
2024/11/04,01:36:34,Halo,360,960,1.5e+16*
2024/11/21,18:12:05,Halo,360,1436,3.6e+16*
2024/12/11,21:12:05,Halo,360,438,1.6e+16*
2024/12/15,14:36:05,Halo,360,899,9.8e+15*
2024/12/17,16:00:05,Halo,360,1786,9.5e+15*
2024/12/19,18:16:54,Halo,360,1078,2.8e+16*
2024/12/23,11:24:05,Halo,360,688,7.2e+15*
2024/12/29,06:12:05,Halo,360,764,4.3e+15*
