Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
2017-01-01T00:00:00Z,1.0000000,7098,6590,989.71
2017-01-01T01:00:00Z,1.0416667,7075,6617,990.71
2017-01-01T02:00:00Z,1.0833333,6997,6573,991.32
2017-01-01T03:00:00Z,1.1250000,7007,6608,991.82
2017-01-01T04:00:00Z,1.1666667,6962,6591,992.36
2017-01-01T05:00:00Z,1.2083333,6994,6641,992.75
2017-01-01T06:00:00Z,1.2500000,6907,6588,993.36
2017-01-01T07:00:00Z,1.2916667,6934,6656,994.22
2017-01-01T08:00:00Z,1.3333333,6913,6651,994.54
2017-01-01T09:00:00Z,1.3750000,6885,6654,995.15
2017-01-01T10:00:00Z,1.4166667,6838,6635,995.68
2017-01-01T11:00:00Z,1.4583333,6848,6655,995.91
2017-01-01T12:00:00Z,1.5000000,6797,6634,996.48
2017-01-01T13:00:00Z,1.5416667,6801,6662,996.97
2017-01-01T14:00:00Z,1.5833333,6779,6658,997.32
2017-01-01T15:00:00Z,1.6250000,6737,6647,997.95
2017-01-01T16:00:00Z,1.6666667,6735,6663,998.30
2017-01-01T17:00:00Z,1.7083333,6676,6620,998.62
2017-01-01T18:00:00Z,1.7500000,6659,6631,999.17
2017-01-01T19:00:00Z,1.7916667,6611,6614,999.80
2017-01-01T20:00:00Z,1.8333333,6615,6642,1000.30
2017-01-01T21:00:00Z,1.8750000,6570,6623,1000.84
2017-01-01T22:00:00Z,1.9166667,6562,6626,1001.06
2017-01-01T23:00:00Z,1.9583333,6547,6622,1001.29
2017-01-02T00:00:00Z,2.0000000,6535,6625,1001.60
2017-01-02T01:00:00Z,2.0416667,6542,6636,1001.69
2017-01-02T02:00:00Z,2.0833333,6526,6630,1001.89
2017-01-02T03:00:00Z,2.1250000,6502,6623,1002.25
2017-01-02T04:00:00Z,2.1666667,6452,6589,1002.60
2017-01-02T05:00:00Z,2.2083333,6493,6636,1002.71
2017-01-02T06:00:00Z,2.2500000,6500,6650,1002.84
2017-01-02T07:00:00Z,2.2916667,6456,6625,1003.24
2017-01-02T08:00:00Z,2.3333333,6484,6670,1003.58
2017-01-02T09:00:00Z,2.3750000,6492,6680,1003.61
2017-01-02T10:00:00Z,2.4166667,6478,6673,1003.76
2017-01-02T11:00:00Z,2.4583333,6483,6672,1003.65
2017-01-02T12:00:00Z,2.5000000,6470,6665,1003.77
2017-01-02T13:00:00Z,2.5416667,6469,6668,1003.86
2017-01-02T14:00:00Z,2.5833333,6451,6657,1003.99
2017-01-02T15:00:00Z,2.6250000,6480,6686,1003.99
2017-01-02T16:00:00Z,2.6666667,6452,6650,1003.84
2017-01-02T17:00:00Z,2.7083333,6469,6669,1003.86
2017-01-02T18:00:00Z,2.7500000,6431,6622,1003.71
2017-01-02T19:00:00Z,2.7916667,6444,6645,1003.92
2017-01-02T20:00:00Z,2.8333333,6442,6654,1004.14
2017-01-02T21:00:00Z,2.8750000,6431,6647,1004.22
2017-01-02T22:00:00Z,2.9166667,6455,6661,1004.00
2017-01-02T23:00:00Z,2.9583333,6414,6604,1003.69
2017-01-03T00:00:00Z,3.0000000,6426,6592,1003.20
2017-01-03T01:00:00Z,3.0416667,6447,6606,1003.05
2017-01-03T02:00:00Z,3.0833333,6451,6604,1002.93
2017-01-03T03:00:00Z,3.1250000,6455,6600,1002.76
2017-01-03T04:00:00Z,3.1666667,6498,6630,1002.48
2017-01-03T05:00:00Z,3.2083333,6483,6612,1002.42
2017-01-03T06:00:00Z,3.2500000,6558,6681,1002.27
2017-01-03T07:00:00Z,3.2916667,6560,6683,1002.27
2017-01-03T08:00:00Z,3.3333333,6546,6673,1002.35
2017-01-03T09:00:00Z,3.3750000,6562,6683,1002.22
2017-01-03T10:00:00Z,3.4166667,6579,6696,1002.13
2017-01-03T11:00:00Z,3.4583333,6617,6729,1002.03
2017-01-03T12:00:00Z,3.5000000,6616,6731,1002.07
2017-01-03T13:00:00Z,3.5416667,6557,6675,1002.17
2017-01-03T14:00:00Z,3.5833333,6570,6697,1002.33
2017-01-03T15:00:00Z,3.6250000,6550,6686,1002.53
2017-01-03T16:00:00Z,3.6666667,6485,6648,1003.10
2017-01-03T17:00:00Z,3.7083333,6491,6670,1003.42
2017-01-03T18:00:00Z,3.7500000,6490,6671,1003.47
2017-01-03T19:00:00Z,3.7916667,6460,6661,1003.89
2017-01-03T20:00:00Z,3.8333333,6433,6660,1004.43
2017-01-03T21:00:00Z,3.8750000,6432,6692,1005.12
2017-01-03T22:00:00Z,3.9166667,6386,6686,1005.97
2017-01-03T23:00:00Z,3.9583333,6336,6674,1006.79
2017-01-04T00:00:00Z,4.0000000,6276,6646,1007.51
