Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
2011-01-01T00:00:00Z,1.0000000,6912,6523,991.91
2011-01-01T01:00:00Z,1.0416667,6886,6503,992.02
2011-01-01T02:00:00Z,1.0833333,6926,6548,992.14
2011-01-01T03:00:00Z,1.1250000,6893,6535,992.54
2011-01-01T04:00:00Z,1.1666667,6893,6549,992.82
2011-01-01T05:00:00Z,1.2083333,6877,6558,993.32
2011-01-01T06:00:00Z,1.2500000,6839,6549,993.88
2011-01-01T07:00:00Z,1.2916667,6799,6542,994.54
2011-01-01T08:00:00Z,1.3333333,6800,6565,995.01
2011-01-01T09:00:00Z,1.3750000,6802,6583,995.32
2011-01-01T10:00:00Z,1.4166667,6755,6549,995.55
2011-01-01T11:00:00Z,1.4583333,6753,6559,995.80
2011-01-01T12:00:00Z,1.5000000,6767,6592,996.19
2011-01-01T13:00:00Z,1.5416667,6752,6595,996.56
2011-01-01T14:00:00Z,1.5833333,6744,6611,997.05
2011-01-01T15:00:00Z,1.6250000,6709,6595,997.43
2011-01-01T16:00:00Z,1.6666667,6666,6566,997.70
2011-01-01T17:00:00Z,1.7083333,6689,6599,997.91
2011-01-01T18:00:00Z,1.7500000,6651,6574,998.17
2011-01-01T19:00:00Z,1.7916667,6656,6602,998.65
2011-01-01T20:00:00Z,1.8333333,6600,6560,998.92
2011-01-01T21:00:00Z,1.8750000,6589,6555,999.04
2011-01-01T22:00:00Z,1.9166667,6586,6562,999.26
2011-01-01T23:00:00Z,1.9583333,6582,6566,999.40
2011-01-02T00:00:00Z,2.0000000,6582,6575,999.60
2011-01-02T01:00:00Z,2.0416667,6572,6571,999.73
2011-01-02T02:00:00Z,2.0833333,6585,6592,999.90
2011-01-02T03:00:00Z,2.1250000,6536,6553,1000.10
2011-01-02T04:00:00Z,2.1666667,6544,6570,1000.28
2011-01-02T05:00:00Z,2.2083333,6517,6557,1000.59
2011-01-02T06:00:00Z,2.2500000,6518,6573,1000.88
2011-01-02T07:00:00Z,2.2916667,6503,6564,1001.00
2011-01-02T08:00:00Z,2.3333333,6509,6590,1001.41
2011-01-02T09:00:00Z,2.3750000,6495,6580,1001.52
2011-01-02T10:00:00Z,2.4166667,6500,6584,1001.48
2011-01-02T11:00:00Z,2.4583333,6486,6577,1001.62
2011-01-02T12:00:00Z,2.5000000,6465,6566,1001.84
2011-01-02T13:00:00Z,2.5416667,6470,6588,1002.19
2011-01-02T14:00:00Z,2.5833333,6464,6591,1002.37
2011-01-02T15:00:00Z,2.6250000,6449,6588,1002.63
2011-01-02T16:00:00Z,2.6666667,6408,6555,1002.81
2011-01-02T17:00:00Z,2.7083333,6425,6571,1002.78
2011-01-02T18:00:00Z,2.7500000,6415,6570,1002.97
2011-01-02T19:00:00Z,2.7916667,6404,6572,1003.23
2011-01-02T20:00:00Z,2.8333333,6402,6582,1003.50
2011-01-02T21:00:00Z,2.8750000,6350,6530,1003.53
2011-01-02T22:00:00Z,2.9166667,6365,6543,1003.46
2011-01-02T23:00:00Z,2.9583333,6389,6567,1003.45
2011-01-03T00:00:00Z,3.0000000,6370,6555,1003.61
2011-01-03T01:00:00Z,3.0416667,6336,6526,1003.74
2011-01-03T02:00:00Z,3.0833333,6350,6547,1003.87
2011-01-03T03:00:00Z,3.1250000,6343,6542,1003.90
2011-01-03T04:00:00Z,3.1666667,6343,6540,1003.88
2011-01-03T05:00:00Z,3.2083333,6354,6554,1003.94
2011-01-03T06:00:00Z,3.2500000,6339,6557,1004.31
2011-01-03T07:00:00Z,3.2916667,6386,6622,1004.66
2011-01-03T08:00:00Z,3.3333333,6325,6567,1004.81
2011-01-03T09:00:00Z,3.3750000,6319,6572,1005.06
2011-01-03T10:00:00Z,3.4166667,6357,6609,1005.00
2011-01-03T11:00:00Z,3.4583333,6367,6631,1005.24
2011-01-03T12:00:00Z,3.5000000,6305,6582,1005.55
2011-01-03T13:00:00Z,3.5416667,6307,6592,1005.72
2011-01-03T14:00:00Z,3.5833333,6330,6631,1006.02
2011-01-03T15:00:00Z,3.6250000,6269,6571,1006.11
2011-01-03T16:00:00Z,3.6666667,6269,6585,1006.39
2011-01-03T17:00:00Z,3.7083333,6259,6598,1006.87
2011-01-03T18:00:00Z,3.7500000,6229,6591,1007.37
2011-01-03T19:00:00Z,3.7916667,6196,6573,1007.74
2011-01-03T20:00:00Z,3.8333333,6175,6570,1008.12
2011-01-03T21:00:00Z,3.8750000,6198,6607,1008.37
2011-01-03T22:00:00Z,3.9166667,6134,6558,1008.78
2011-01-03T23:00:00Z,3.9583333,6123,6557,1009.01
2011-01-04T00:00:00Z,4.0000000,6072,6524,1009.45
2011-01-04T01:00:00Z,4.0416667,6073,6544,1009.86
2011-01-04T02:00:00Z,4.0833333,6065,6546,1010.04
2011-01-04T03:00:00Z,4.1250000,6067,6559,1010.27
2011-01-04T04:00:00Z,4.1666667,6071,6584,1010.70
2011-01-04T05:00:00Z,4.2083333,6017,6544,1011.09
2011-01-04T06:00:00Z,4.2500000,6012,6559,1011.53
2011-01-04T07:00:00Z,4.2916667,6004,6574,1012.01
2011-01-04T08:00:00Z,4.3333333,5968,6561,1012.54
2011-01-04T09:00:00Z,4.3750000,5989,6604,1012.96
2011-01-04T10:00:00Z,4.4166667,5980,6602,1013.11
2011-01-04T11:00:00Z,4.4583333,5956,6592,1013.47
2011-01-04T12:00:00Z,4.5000000,5920,6578,1014.00
2011-01-04T13:00:00Z,4.5416667,5897,6574,1014.43
2011-01-04T14:00:00Z,4.5833333,5899,6593,1014.77
2011-01-04T15:00:00Z,4.6250000,5890,6588,1014.88
2011-01-04T16:00:00Z,4.6666667,5881,6589,1015.11
2011-01-04T17:00:00Z,4.7083333,5872,6598,1015.49
2011-01-04T18:00:00Z,4.7500000,5825,6563,1015.87
2011-01-04T19:00:00Z,4.7916667,5822,6576,1016.19
2011-01-04T20:00:00Z,4.8333333,5808,6569,1016.39
2011-01-04T21:00:00Z,4.8750000,5786,6543,1016.37
2011-01-04T22:00:00Z,4.9166667,5829,6595,1016.42
2011-01-04T23:00:00Z,4.9583333,5819,6594,1016.65
2011-01-05T00:00:00Z,5.0000000,5799,6574,1016.69
2011-01-05T01:00:00Z,5.0416667,5799,6568,1016.57
2011-01-05T02:00:00Z,5.0833333,5791,6550,1016.39
2011-01-05T03:00:00Z,5.1250000,5825,6582,1016.26
2011-01-05T04:00:00Z,5.1666667,5826,6578,1016.13
2011-01-05T05:00:00Z,5.2083333,5835,6584,1016.06
2011-01-05T06:00:00Z,5.2500000,5814,6561,1016.07
2011-01-05T07:00:00Z,5.2916667,5812,6565,1016.22
2011-01-05T08:00:00Z,5.3333333,5813,6573,1016.35
2011-01-05T09:00:00Z,5.3750000,5847,6598,1016.09
2011-01-05T10:00:00Z,5.4166667,5854,6588,1015.72
2011-01-05T11:00:00Z,5.4583333,5895,6625,1015.53
2011-01-05T12:00:00Z,5.5000000,5876,6604,1015.52
2011-01-05T13:00:00Z,5.5416667,5876,6603,1015.52
2011-01-05T14:00:00Z,5.5833333,5882,6586,1015.02
2011-01-05T15:00:00Z,5.6250000,5910,6604,1014.77
2011-01-05T16:00:00Z,5.6666667,5887,6570,1014.59
2011-01-05T17:00:00Z,5.7083333,5912,6588,1014.38
2011-01-05T18:00:00Z,5.7500000,5912,6582,1014.26
2011-01-05T19:00:00Z,5.7916667,5901,6568,1014.22
2011-01-05T20:00:00Z,5.8333333,5896,6568,1014.31
2011-01-05T21:00:00Z,5.8750000,5905,6576,1014.28
2011-01-05T22:00:00Z,5.9166667,5920,6580,1014.02
2011-01-05T23:00:00Z,5.9583333,5954,6619,1014.03
2011-01-06T00:00:00Z,6.0000000,5907,6572,1014.17
2011-01-06T01:00:00Z,6.0416667,5890,6551,1014.12
2011-01-06T02:00:00Z,6.0833333,5928,6570,1013.62
2011-01-06T03:00:00Z,6.1250000,5964,6594,1013.31
2011-01-06T04:00:00Z,6.1666667,5968,6588,1013.10
2011-01-06T05:00:00Z,6.2083333,5964,6578,1012.98
