Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
2026-01-01T00:00:00Z,1.0000000,5688,5628,998.32
2026-01-01T01:00:00Z,1.0416667,5742,5661,997.84
2026-01-01T02:00:00Z,1.0833333,5758,5646,997.08
2026-01-01T03:00:00Z,1.1250000,5799,5668,996.65
2026-01-01T04:00:00Z,1.1666667,5802,5654,996.25
2026-01-01T05:00:00Z,1.2083333,5808,5635,995.66
2026-01-01T06:00:00Z,1.2500000,5858,5684,995.67
2026-01-01T07:00:00Z,1.2916667,5828,5648,995.50
2026-01-01T08:00:00Z,1.3333333,5870,5679,995.26
2026-01-01T09:00:00Z,1.3750000,5844,5645,995.08
2026-01-01T10:00:00Z,1.4166667,5878,5682,995.17
2026-01-01T11:00:00Z,1.4583333,5860,5665,995.16
2026-01-01T12:00:00Z,1.5000000,5900,5701,995.11
2026-01-01T13:00:00Z,1.5416667,5889,5682,994.89
2026-01-01T14:00:00Z,1.5833333,5878,5659,994.59
2026-01-01T15:00:00Z,1.6250000,5896,5679,994.67
2026-01-01T16:00:00Z,1.6666667,5860,5651,994.83
2026-01-01T17:00:00Z,1.7083333,5888,5682,994.93
2026-01-01T18:00:00Z,1.7500000,5804,5605,995.02
2026-01-01T19:00:00Z,1.7916667,5797,5605,995.19
2026-01-01T20:00:00Z,1.8333333,5809,5616,995.17
2026-01-01T21:00:00Z,1.8750000,5791,5600,995.21
2026-01-01T22:00:00Z,1.9166667,5775,5597,995.52
2026-01-01T23:00:00Z,1.9583333,5783,5613,995.71
2026-01-02T00:00:00Z,2.0000000,5777,5607,995.70
2026-01-02T01:00:00Z,2.0416667,5796,5621,995.59
2026-01-02T02:00:00Z,2.0833333,5798,5629,995.74
2026-01-02T03:00:00Z,2.1250000,5783,5616,995.80
2026-01-02T04:00:00Z,2.1666667,5800,5639,995.94
2026-01-02T05:00:00Z,2.2083333,5781,5626,996.08
2026-01-02T06:00:00Z,2.2500000,5781,5644,996.51
2026-01-02T07:00:00Z,2.2916667,5774,5656,996.95
2026-01-02T08:00:00Z,2.3333333,5779,5675,997.29
2026-01-02T09:00:00Z,2.3750000,5742,5642,997.37
2026-01-02T10:00:00Z,2.4166667,5781,5685,997.47
2026-01-02T11:00:00Z,2.4583333,5730,5641,997.65
2026-01-02T12:00:00Z,2.5000000,5728,5647,997.81
2026-01-02T13:00:00Z,2.5416667,5764,5677,997.68
2026-01-02T14:00:00Z,2.5833333,5745,5667,997.89
2026-01-02T15:00:00Z,2.6250000,5722,5647,997.97
2026-01-02T16:00:00Z,2.6666667,5712,5634,997.91
2026-01-02T17:00:00Z,2.7083333,5702,5628,997.98
2026-01-02T18:00:00Z,2.7500000,5675,5607,998.11
2026-01-02T19:00:00Z,2.7916667,5671,5616,998.41
2026-01-02T20:00:00Z,2.8333333,5664,5620,998.69
2026-01-02T21:00:00Z,2.8750000,5641,5594,998.62
2026-01-02T22:00:00Z,2.9166667,5644,5596,998.57
2026-01-02T23:00:00Z,2.9583333,5672,5622,998.55
2026-01-03T00:00:00Z,3.0000000,5652,5606,998.64
2026-01-03T01:00:00Z,3.0416667,5643,5600,998.70
2026-01-03T02:00:00Z,3.0833333,5629,5587,998.74
2026-01-03T03:00:00Z,3.1250000,5627,5593,998.91
2026-01-03T04:00:00Z,3.1666667,5618,5583,998.88
2026-01-03T05:00:00Z,3.2083333,5625,5597,999.07
2026-01-03T06:00:00Z,3.2500000,5608,5586,999.21
2026-01-03T07:00:00Z,3.2916667,5587,5594,999.89
2026-01-03T08:00:00Z,3.3333333,5567,5597,1000.48
2026-01-03T09:00:00Z,3.3750000,5551,5591,1000.71
2026-01-03T10:00:00Z,3.4166667,5565,5605,1000.71
2026-01-03T11:00:00Z,3.4583333,5593,5636,1000.78
2026-01-03T12:00:00Z,3.5000000,5575,5642,1001.37
2026-01-03T13:00:00Z,3.5416667,5532,5619,1001.85
2026-01-03T14:00:00Z,3.5833333,5534,5630,1002.07
2026-01-03T15:00:00Z,3.6250000,5494,5602,1002.39
2026-01-03T16:00:00Z,3.6666667,5544,5663,1002.63
2026-01-03T17:00:00Z,3.7083333,5529,5660,1002.91
2026-01-03T18:00:00Z,3.7500000,5502,5649,1003.30
2026-01-03T19:00:00Z,3.7916667,5481,5646,1003.74
