Timestamp,FractionalDate,UncorrectedCountRate[cts/min],CorrectedCountRate[cts/min],Pressure[mbar]
1999-01-01T00:00:00Z,1.0000000,5594,6282,1014.14
1999-01-01T01:00:00Z,1.0416667,5618,6300,1013.95
1999-01-01T02:00:00Z,1.0833333,5623,6292,1013.64
1999-01-01T03:00:00Z,1.1250000,5649,6308,1013.38
1999-01-01T04:00:00Z,1.1666667,5659,6317,1013.32
1999-01-01T05:00:00Z,1.2083333,5645,6296,1013.20
1999-01-01T06:00:00Z,1.2500000,5672,6308,1012.82
1999-01-01T07:00:00Z,1.2916667,5700,6330,1012.63
1999-01-01T08:00:00Z,1.3333333,5685,6326,1012.90
1999-01-01T09:00:00Z,1.3750000,5686,6324,1012.84
1999-01-01T10:00:00Z,1.4166667,5719,6336,1012.31
1999-01-01T11:00:00Z,1.4583333,5749,6341,1011.71
1999-01-01T12:00:00Z,1.5000000,5781,6363,1011.43
1999-01-01T13:00:00Z,1.5416667,5772,6341,1011.17
1999-01-01T14:00:00Z,1.5833333,5772,6330,1010.93
1999-01-01T15:00:00Z,1.6250000,5769,6312,1010.61
1999-01-01T16:00:00Z,1.6666667,5815,6349,1010.33
1999-01-01T17:00:00Z,1.7083333,5800,6322,1010.10
1999-01-01T18:00:00Z,1.7500000,5807,6317,1009.84
1999-01-01T19:00:00Z,1.7916667,5784,6290,1009.79
1999-01-01T20:00:00Z,1.8333333,5813,6321,1009.78
1999-01-01T21:00:00Z,1.8750000,5754,6262,1009.89
1999-01-01T22:00:00Z,1.9166667,5765,6275,1009.92
1999-01-01T23:00:00Z,1.9583333,5768,6269,1009.72
1999-01-02T00:00:00Z,2.0000000,5817,6310,1009.46
1999-01-02T01:00:00Z,2.0416667,5784,6263,1009.20
1999-01-02T02:00:00Z,2.0833333,5774,6254,1009.26
1999-01-02T03:00:00Z,2.1250000,5777,6252,1009.13
1999-01-02T04:00:00Z,2.1666667,5815,6294,1009.16
1999-01-02T05:00:00Z,2.2083333,5823,6294,1008.96
1999-01-02T06:00:00Z,2.2500000,5820,6298,1009.13
1999-01-02T07:00:00Z,2.2916667,5802,6286,1009.29
1999-01-02T08:00:00Z,2.3333333,5838,6321,1009.19
1999-01-02T09:00:00Z,2.3750000,5815,6297,1009.21
1999-01-02T10:00:00Z,2.4166667,5847,6321,1009.00
1999-01-02T11:00:00Z,2.4583333,5871,6332,1008.68
1999-01-02T12:00:00Z,2.5000000,5851,6310,1008.67
1999-01-02T13:00:00Z,2.5416667,5873,6327,1008.53
1999-01-02T14:00:00Z,2.5833333,5891,6340,1008.39
1999-01-02T15:00:00Z,2.6250000,5875,6321,1008.34
